"lab","consensus_id","mixture","polarity","mz","chrom_peak_id","peakCount","maxIntensity","baselineIntensity","signalToNoiseRatio","peakWidth","peakProminence","left_boundary","right_boundary","areaUnderTic","xicFwhm","gaussianSimilarity.gaussian_similarity","gaussianSimilarity.gaussian_residuals"
"afekta",929,"1_1",0,247.081829697779,"CP393349",8,1863.2109375,328.09133605957,NA,4.788,4.38089418578506,22.7900497719665,27.5780497719665,7110.40670776367,1.47460774020198,0.917335663631371,3.90367436738313
"afekta",935,"1_1",0,281.073234241609,"CP393355",9,49853.443359375,1391.73087158203,NA,2.394,33.0794699176103,23.9870497719665,26.3810497719665,119922.454345703,1.45513562310014,0.942237524533226,5.2253268853716
"afekta",962,"1_1",0,361.074049077601,"CP393367",8,53874.26171875,558.189175415039,NA,2.99199999996,70.3951587746063,23.9870497719665,26.9790497719265,132768.105712891,1.43686282920729,0.99538694117476,5.91635467168969
"afekta",973,"1_1",0,393.18698474995,"CP393375",6,16055.830078125,587.585334777832,NA,2.394,18.0058904928162,23.9870497719665,26.3810497719665,38362.4429321289,1.31585729853105,0.822691659260071,4.51412296587009
"afekta",981,"1_1",0,415.994753478817,"CP393376",6,6395.65539550781,622.935485839844,NA,3.591,8.64240162624354,23.9870497719665,27.5780497719665,17454.2766418457,1.33368750315523,0.961870973880053,4.51279260382015
"afekta",883,"1_1",0,787.154243284493,"CP393428",4,2982.92980957031,862.586087036133,NA,3.60232269886264,2.31162744973319,25.1840497719665,28.7863724708292,5301.41436767578,0.980885308080225,NA,NA
"afekta",1001,"1_1",0,507.131514869264,"CP393510",11,5582.37878417969,364.811614990234,NA,4.79263730290998,11.9227601040555,23.3890497719465,28.1816870748565,21887.2475128174,1.99300265315331,0.891606961637159,4.26899274513821
"afekta",940,"1_1",0,296.082693280934,"CP393606",10,4415.45593261719,285.254251098633,NA,4.18899999996,14.045130610604,22.7900497719665,26.9790497719265,14079.8792114258,1.63911660354417,0.978008037957461,4.52726312142174
"afekta",902,"1_1",0,999.191009933172,"CP393755",7,2389.16131591797,396.63505859375,NA,2.99211111113334,4.6938824583602,24.5859386608332,27.5780497719665,5845.11499023438,1.0880569436768,0.640548488038907,3.60889208193302
"afekta",859,"1_1",0,683.223853768181,"CP394067",6,3238.40173339844,913.394538879395,NA,5.39732269888264,2.07552081631358,23.3890497719465,28.7863724708292,11681.8116149902,2.27356369388549,0.891441523477025,3.93761260877589
"afekta",938,"1_1",0,290.03249106957,"CP394163",13,9155.03479003906,317.106072998047,NA,7.81438882171464,27.7772419187753,23.3890497719465,31.2034385936612,41866.1409606934,1.07951074356687,0.979326073220023,4.73114394162652
"afekta",985,"1_1",0,433.133495807428,"CP394176",10,12699.3488769531,313.703224182129,NA,5.39732269888264,38.2796035493511,23.3890497719465,28.7863724708292,37090.7469177246,1.39436008274088,0.74127330220387,4.64671608184578
"afekta",1010,"1_1",0,531.083750165397,"CP394193",6,1784.25207519531,438.124969482422,NA,2.41108748828091,2.71127968954079,26.9790497719265,29.3901372602074,5621.91668701172,1.94385173634957,0.84781543506073,3.56440897426796
"afekta",1028,"1_1",0,581.091580625057,"CP394204",10,6369.56829833984,293.16453704834,NA,4.80419859937424,19.2479084682609,24.5859386608332,29.3901372602074,21289.3178710938,1.4488421754003,0.905412853880839,4.36990520277811
"afekta",901,"1_1",0,997.190672821639,"CP394251",11,9933.2197265625,339.445388793945,NA,4.20608748824091,27.7277058081216,25.1840497719665,29.3901372602074,32583.0878601074,1.68983404837768,0.967276516166995,4.82044633479673
"afekta",1007,"1_1",0,527.098239932272,"CP394359",12,8393.51013183594,611.124411010742,NA,4.21199789289116,9.2607795211243,25.7820497719265,29.9940476648177,34500.0540161133,2.49304522874415,0.957037826496847,4.671391023256
"afekta",1019,"1_1",0,548.074664455482,"CP394363",9,14895.9453125,381.707635498047,NA,3.60232269886264,36.122793592527,25.1840497719665,28.7863724708292,43190.6716918945,1.62274285132002,0.994748220854463,5.38671266140677
"afekta",881,"1_1",0,768.128963457021,"CP394410",14,15130.3203125,412.338298034668,NA,4.20043380999597,31.9697994740104,24.5859386608332,28.7863724708292,50119.5475158691,1.62807109113179,0.92517047865492,4.81202097924742
"afekta",1003,"1_1",0,516.204295831207,"CP394522",12,101064.0390625,459.11837310791,NA,2.99763730288998,175.416680040419,25.1840497719665,28.1816870748565,261660.293212891,1.50237224883968,0.958133876718972,5.63976303689838
"afekta",1036,"1_1",0,600.154219170999,"CP394544",13,29490.572265625,362.0556640625,NA,4.80419859937424,70.7670871242229,24.5859386608332,29.3901372602074,107025.574676514,1.87495313882614,0.979609792438803,5.38431654223951
"afekta",877,"1_1",0,747.147956381697,"CP394574",10,10671.7375488281,660.200273132324,NA,4.20608748824091,9.72863582513734,25.1840497719665,29.3901372602074,40048.1417236328,1.96844642095809,0.971609276175109,4.85482809887814
"afekta",882,"1_1",0,769.130284070605,"CP394578",11,5519.96740722656,340.202407836914,NA,5.39163730288998,14.8610253099212,22.7900497719665,28.1816870748565,18874.6726989746,2.17010937814941,0.935818737143223,4.32347370453276
"afekta",899,"1_1",0,976.212193046456,"CP394591",10,13282.66796875,649.378176879883,NA,6.60499789287115,18.30602514957,23.3890497719465,29.9940476648177,39840.9646606445,1.33404739924595,0.918952509374998,4.73668621623434
"afekta",910,"1_1",0,179.056110164353,"CP394613",17,16851.9288635254,321.996411132813,NA,4.20043380999597,32.4951199990062,24.5859386608332,28.7863724708292,70122.6444396973,2.48577792057141,0.948663353078801,4.9225622473036
"afekta",921,"1_1",0,226.102476821188,"CP394616",15,41368.6967773438,355.216061401367,NA,4.18900000002,85.8111865125421,23.3890497719465,27.5780497719665,181833.755615234,2.5025884822331,0.935811637899328,5.24980572069425
"afekta",1049,"1_1",0,666.150031431351,"CP394682",12,7915.2421875,387.836561584473,NA,4.82238882169464,14.6147451885095,26.3810497719665,31.2034385936612,30418.5815124512,2.33243089352359,0.858848868030855,4.35834128773225
"afekta",1020,"1_1",0,555.087154629074,"CP394766",13,30629.5883789062,810.843914794922,NA,4.20043380999597,35.9617010005482,24.5859386608332,28.7863724708292,95712.0437011719,1.44529589505793,0.929159824270236,5.13799911876921
"afekta",1029,"1_1",0,583.076353360669,"CP394768",15,7546.16146850586,767.924746704102,NA,5.42769278928105,7.99399749867165,26.3810497719665,31.8087425612476,30582.1932067871,1.50409541381758,0.775854858403762,4.43025006250344
"afekta",894,"1_1",0,145.098569292727,"CP394812",20,45964.0014648438,391.408058166504,NA,4.788,106.000458912856,22.7900497719665,27.5780497719665,172409.572387695,2.17714703100329,0.993454221342237,5.82776688385837
"afekta",913,"1_1",0,189.113776079692,"CP394813",10,6866.45983886719,484.941856384277,NA,6.01938882169464,9.88775451469501,25.1840497719665,31.2034385936612,27462.2552185059,2.35462737229893,0.958664688405491,4.5532681733416
"afekta",914,"1_1",0,199.00120652946,"CP394814",18,6937.52178955078,461.031674194336,NA,8.40099789285116,10.8677450343519,21.5930497719665,29.9940476648177,32442.8123779297,2.3303449549564,0.957943365641014,4.6628037199856
"afekta",887,"1_1",0,795.183648704463,"CP394875",9,3467.76803588867,391.34384765625,NA,6.04356374237085,7.8419908286301,28.7863724708292,34.8299362132,14300.5393676758,2.19714574332902,0.74988615450704,4.03174922399948
"afekta",933,"1_1",0,272.088720177649,"CP394897",13,4306.85723876953,407.795977783203,NA,6.64693267726461,7.69718880469759,28.7863724708292,35.4333051480938,19883.409576416,2.28675880991266,0.932049032837006,4.2746577201992
"afekta",1023,"1_1",0,558.094314029846,"CP394917",15,3281.99072265625,636.018725585938,NA,6.61749993282798,3.04681060999834,24.5859386608332,31.2034385936612,20493.4248046875,3.88059525971653,0.841084669447018,4.07280232507022
"afekta",1035,"1_1",0,591.083820416984,"CP394924",16,41722.875,314.877883911133,NA,6.63093709300425,128.085315263705,25.7820497719265,32.4129868649308,131136.146636963,1.6975413504684,0.915577425052958,5.39265344103958
"afekta",1047,"1_1",0,652.09698705192,"CP394931",11,5268.45013427734,389.341186523438,NA,4.22438882173464,11.8344997664854,26.9790497719265,31.2034385936612,15643.3167724609,1.16608853967212,0.10728507911514,3.75440582852702
"afekta",1048,"1_1",0,661.164008868826,"CP394932",11,51993.20703125,908.431137084961,NA,6.01938882169464,43.9117749828383,25.1840497719665,31.2034385936612,189640.116455078,2.03413063332591,0.981668801070082,5.65397323646558
"afekta",863,"1_1",0,698.141892864291,"CP394938",13,5299.01416015625,350.770025634766,NA,8.42593709296425,12.6052927770602,23.9870497719665,32.4129868649308,26682.6955566406,2.91809551174048,0.965760036605837,4.53137971109375
"afekta",886,"1_1",0,794.184602328252,"CP394941",9,9425.99658203125,668.228381347656,NA,4.83493709296425,10.8713801869168,27.5780497719665,32.4129868649308,34367.5865478516,1.55880923757586,0.882231904694254,4.46335089896852
"afekta",1033,"1_1",0,589.096834369409,"CP394972",9,4647.31985473633,278.901495361328,NA,6.03905380747342,15.4276774163301,26.9790497719265,33.0181035793999,14764.1803588867,1.44604372739312,0.697740212023765,4.04766329150954
"afekta",876,"1_1",0,746.145168086953,"CP394977",18,36315.7734375,371.339794921875,NA,4.20608748824091,87.8971469437812,25.1840497719665,29.3901372602074,119763.10635376,1.78671836012428,0.985227110921376,5.4758354846145
"afekta",898,"1_1",0,975.207700192107,"CP394980",13,22763.46875,393.501293945312,NA,6.60499789287115,51.8100395477038,23.3890497719465,29.9940476648177,82932.2184448242,1.81027000722855,0.974188259029137,5.17830489671311
"afekta",953,"1_1",0,341.108703751147,"CP394989",15,44729.2392578125,907.114047241211,NA,6.0010874882609,33.578000290083,23.3890497719465,29.3901372602074,212150.204040527,2.6596335344527,0.916087366726697,5.39433291064836
"afekta",1032,"1_1",0,586.072193498531,"CP395001",17,2324.28164672852,475.341015625,NA,8.43793455325765,3.34478347898803,25.1840497719665,33.6219843252242,19101.9286804199,4.30714061283164,0.51757735804707,3.89645350273395
"afekta",926,"1_1",0,241.044314598008,"CP395016",13,5878.06854248047,413.130603027344,NA,4.82969278932105,12.5457018940833,26.9790497719265,31.8087425612476,29386.9866333008,3.16227501306284,0.911863231087758,4.38557178919887
"afekta",976,"1_1",0,404.042603879277,"CP395023",13,5488.10778808594,353.109838867188,NA,6.64839850757425,12.0460694020597,27.5780497719665,34.2264482795408,26684.0733337402,2.5944616070865,0.687488694128986,4.31598302124101
"afekta",999,"1_1",0,488.101578712867,"CP395059",17,7555.51696777344,1044.26114501953,NA,4.80419859937424,5.32910493459639,24.5859386608332,29.3901372602074,38605.1727294922,3.67164537656512,0.841609833498561,4.37801230519573
"afekta",1027,"1_1",0,567.116456625777,"CP395061",15,26436.080078125,371.525283813477,NA,6.64293455329765,57.3524094611824,26.9790497719265,33.6219843252242,96519.1450195312,1.96988723701933,0.984410411355081,5.4456108558697
"afekta",951,"1_1",0,338.048365128124,"CP395068",15,91303.4322814941,271.358557128906,NA,3.62796631919251,293.790595013867,29.3901372602074,33.0181035793999,283523.80670166,1.81640041998946,0.993672771836843,6.16422066965829
"afekta",912,"1_1",0,188.112326471636,"CP395096",15,63020.0346679688,777.97158203125,NA,4.82969278932105,69.5940487915712,26.9790497719265,31.8087425612476,239990.591644287,2.11427994476524,0.99196807855955,6.03189867558516
"afekta",942,"1_1",0,308.073345033186,"CP395100",12,20601.3486328125,406.367245483398,NA,6.64293455329765,40.9233992387903,26.9790497719265,33.6219843252242,86838.5749053955,1.99931158128201,0.831062697414636,5.02297764608291
"afekta",984,"1_1",0,428.026070274591,"CP395103",19,9251.24536132812,1154.95170898438,NA,9.03604566439098,5.30554629334941,24.5859386608332,33.6219843252242,60237.6889953613,2.46082248912228,0.932161220306495,4.66507196368936
"afekta",1031,"1_1",0,585.07346517267,"CP395108",26,7384.42126464844,538.075187683105,NA,10.8589805937747,10.9402089288588,25.7820497719265,36.6410303657012,65237.1286773682,3.01373705045098,0.788057246555555,4.37923177687081
"afekta",1021,"1_1",0,556.081934907218,"CP395204",21,11035.3188476562,334.41015625,NA,9.06058884275486,28.5617138281872,31.2034385936612,40.264027436416,84163.5151977539,2.75526681019362,0.648683330774656,4.54083638904007
"afekta",998,"1_1",0,487.099827078917,"CP395230",21,30158.5390625,1943.7946472168,NA,10.8319345532576,14.290886477932,22.7900497719665,33.6219843252242,187227.678161621,2.60617921406358,0.783127555413668,5.26170338177646
"afekta",885,"1_1",0,792.127644006347,"CP395245",9,2582.68139648438,338.722094726562,NA,6.03688103993871,6.27491171005827,39.6606061888306,45.6974872287693,10633.7524719238,1.60084002486621,0.897764433539149,4.07276867204317
"afekta",889,"1_1",0,830.150932550331,"CP395246",11,2975.47088623047,439.022750854492,NA,4.22608142398739,4.74366366410239,39.0563921200936,43.282473544081,15104.4798583984,3.16346579211856,0.76734833718494,3.88405883772158
"afekta",982,"1_1",0,421.000771219605,"CP395268",15,4632.06466674805,707.756069946289,NA,6.03905380747342,3.69410567937154,26.9790497719265,33.0181035793999,26271.8360595703,3.42442302911567,0.41008452550736,3.97530841917304
"afekta",1030,"1_1",0,584.069107264741,"CP395285",33,18325.240234375,379.558770751953,NA,9.05862609646814,25.2501473966119,26.9790497719265,36.0376758683947,136871.512481689,3.90911351913207,0.922550378089816,4.98369794187531
"afekta",1043,"1_1",0,623.090050763195,"CP395290",27,7345.62280273438,1578.69504699707,NA,7.25188644123349,3.193042875907,27.5780497719665,34.8299362132,56780.6996459961,4.05384510959836,0.757311613355322,4.29387065688867
"afekta",990,"1_1",0,462.148229738942,"CP395357",6,3068.45007324219,274.863433837891,NA,4.83002614891386,10.0661548163711,42.0749173272995,46.9049434762134,11494.5068969727,1.86515772842198,0.834163800136599,3.99973376781002
"afekta",868,"1_1",0,712.159148903187,"CP395393",6,9313.552734375,568.386299133301,NA,4.83002614891386,9.59348976604343,42.0749173272995,46.9049434762134,24807.4309997559,1.52947495313512,0.956326756245639,4.71545910095058
"afekta",900,"1_1",0,986.161850507199,"CP395429",5,2507.49932861328,367.533331298828,NA,4.83002614891386,4.37936831849534,42.0749173272995,46.9049434762134,7096.76403808594,1.74029956485871,0.69133427667227,3.60956828310223
"afekta",861,"1_1",0,132.045067172565,"CP395445",8,5087.67129516602,334.052931213379,NA,3.6225699014698,12.8063493543386,42.0749173272995,45.6974872287693,19158.7006835938,2.11747597898631,0.955058927752201,4.34280527839714
"afekta",920,"1_1",0,225.099483913625,"CP395455",24,398850.847839355,1453.58122558594,NA,4.18900000002,249.997219276407,23.3890497719465,27.5780497719665,1628371.18707275,2.29906401826625,0.931042206951286,6.25408310052514
"afekta",1034,"1_1",0,591.04564783837,"CP395500",7,3280.21203613281,351.563372802734,NA,3.01832463274767,6.92557704911428,42.0749173272995,45.0932419600472,12205.1911315918,2.31279044292459,0.86757373478981,3.9256405066433
"afekta",977,"1_1",0,404.084857580224,"CP395550",4,2424.28903198242,733.971849060059,NA,1.81085529472287,2.23538351646589,43.8866319340464,45.6974872287693,5817.98510742188,1.40747599194933,NA,NA
"afekta",987,"1_1",0,439.161989007979,"CP395552",9,259209.421875,391.167303466797,NA,3.01832463274767,613.288428765101,42.0749173272995,45.0932419600472,652698.680786133,1.44334883001366,0.994781152218115,6.55684074543704
"afekta",988,"1_1",0,440.098783688064,"CP395553",21,29150.7649536133,1103.05676269531,NA,6.63705380743342,19.776107409182,26.3810497719665,33.0181035793999,151927.940765381,2.671905288819,0.980264297935212,5.56274390621588
"afekta",1017,"1_1",0,539.086757212642,"CP395558",7,12837.740234375,962.126435852051,NA,5.43263577121657,9.92304404971284,39.6606061888306,45.0932419600472,51975.3130340576,2.50209998099811,0.796869175888537,4.41800751199738
"afekta",893,"1_1",0,144.045389391105,"CP395563",10,6427.46002197266,353.86102142334,NA,6.03688103993871,15.6205946262376,39.6606061888306,45.6974872287693,26390.6848754883,2.29269337192434,0.546463281350068,4.31879366337539
"afekta",1014,"1_1",0,534.108181308353,"CP395580",20,35550.546875,2386.54021606445,NA,7.22280390041439,10.5566982903799,24.5859386608332,31.8087425612476,208622.192504883,2.84685720354838,0.964927695332466,5.569259733992
