"lab","polarity","rt_local","consensus_rt","anchor_label"
"hmgu","neg",495.58749999999,483.83424999999,"C16-APS"
"hmgu","neg",519.75549999999,506.796,"C17-APS"
"hmgu","neg",542.634,529.51824999999,"C18-APS"
"hmgu","neg",565.20950000001,551.043499999995,"C19-APS"
"hmgu","neg",585.9825,570.867499999995,"C20-APS"
"hmgu","pos",27.19449999999,26.914750000005,"C1-APS"
"hmgu","pos",28.43150000001,28.056250000005,"C2-APS"
"hmgu","pos",36.06199999998,32.259250000005,"C3-APS"
"hmgu","pos",54.8505,47.78199999999,"C4-APS"
"hmgu","pos",140.2215,127.395748046865,"C5-APS"
"hmgu","pos",221.68400000001,205.756499999985,"C6-APS"
"hmgu","pos",262.767,249.16725,"C7-APS"
"hmgu","pos",294.846,283.63700000001,"C8-APS"
"hmgu","pos",322.26199999998,313.500250000005,"C9-APS"
"hmgu","pos",348.31749999999,340.541500000005,"C10-APS"
"hmgu","pos",372.75400000002,366.072499999995,"C11-APS"
"hmgu","pos",397.66700000001,390.549250000005,"C12-APS"
"hmgu","pos",421.683,414.790750000005,"C13-APS"
"hmgu","pos",446.58499999998,438.852250000005,"C14-APS"
"hmgu","pos",471.2055,462.365249999985,"C15-APS"
"hmgu","pos",495.73850000001,486.089250000015,"C16-APS"
"hmgu","pos",519.87,509.37024999999,"C17-APS"
"hmgu","pos",543.00249999999,531.70074999999,"C18-APS"
"hmgu","pos",565.71800000001,553.25749999998,"C19-APS"
"hmgu","pos",586.66000000002,573.23724999999,"C20-APS"
"icl","neg",25.41499972344,26.208499999995,"C1-APS"
"icl","neg",29.96749967337,27.721249999995,"C2-APS"
"icl","neg",27.24750012159,31.524250000005,"C3-APS"
"icl","neg",34.21450048686,45.951250000005,"C4-APS"
"icl","neg",108.7199985981,120.400999999995,"C5-APS"
"icl","neg",188.41399669647,202.575499999995,"C6-APS"
"icl","neg",231.54200077056,246.64425,"C7-APS"
"icl","neg",265.72350025179,281.175,"C8-APS"
"icl","neg",295.32249927522,311.07025000002,"C9-APS"
"icl","neg",322.23750114441,338.359750000005,"C10-APS"
"icl","neg",347.39350318911,363.958249999995,"C11-APS"
"icl","neg",372.11349964143,388.498999999995,"C12-APS"
"icl","neg",396.3475084305,412.617499999995,"C13-APS"
"icl","neg",420.43400287629,436.543249999995,"C14-APS"
"icl","neg",444.39549922941,460.28625,"C15-APS"
"icl","neg",468.17399024964,483.83424999999,"C16-APS"
"icl","neg",491.39050483704,506.796,"C17-APS"
"icl","neg",514.18750762938,529.51824999999,"C18-APS"
"icl","neg",536.0510158539,551.043499999995,"C19-APS"
"icl","neg",556.77901268007,570.867499999995,"C20-APS"
"icl","pos",24.15549963711,26.914750000005,"C1-APS"
"icl","pos",25.4019999504,28.056250000005,"C2-APS"
"icl","pos",27.45800077914,32.259250000005,"C3-APS"
"icl","pos",39.81899857521,47.78199999999,"C4-APS"
"icl","pos",111.21550083159,127.395748046865,"C5-APS"
"icl","pos",189.42600488664,205.756499999985,"C6-APS"
"icl","pos",232.20900535584,249.16725,"C7-APS"
"icl","pos",266.11301422122,283.63700000001,"C8-APS"
"icl","pos",295.59050559996,313.500250000005,"C9-APS"
"icl","pos",322.3820114136,340.541500000005,"C10-APS"
"icl","pos",347.53000259397,366.072499999995,"C11-APS"
"icl","pos",372.05549240112,390.549250000005,"C12-APS"
"icl","pos",396.30699634551,414.790750000005,"C13-APS"
"icl","pos",420.519990921,438.852250000005,"C14-APS"
"icl","pos",444.50650691985,462.365249999985,"C15-APS"
"icl","pos",468.34550857542,486.089250000015,"C16-APS"
"icl","pos",491.52900695802,509.37024999999,"C17-APS"
"icl","pos",514.35450553896,531.70074999999,"C18-APS"
"icl","pos",536.29448890686,553.25749999998,"C19-APS"
"icl","pos",556.91651344299,573.23724999999,"C20-APS"
"afekta","pos",38.48800000002,38.52400000002,"N-acetyl-L-alanine"
"cembio","pos",38.52400000002,38.52400000002,"N-acetyl-L-alanine"
"hmgu","pos",42.49900000002,38.52400000002,"N-acetyl-L-alanine"
"cembio","neg",169.93999999998,169.93999999998,"(6S)-5-formyltetrahydrofolic acid"
"hmgu","neg",185.53600000002,169.93999999998,"(6S)-5-formyltetrahydrofolic acid"
"icl","neg",155.62199592588,169.93999999998,"(6S)-5-formyltetrahydrofolic acid"
"afekta","pos",29.53300000002,29.53300000002,"N-carbamoyl-beta-alanine"
"cembio","pos",28.779,29.53300000002,"N-carbamoyl-beta-alanine"
"hmgu","pos",38.388,29.53300000002,"N-carbamoyl-beta-alanine"
"afekta","pos",129.903,129.903,"N-acetyl-L-methionine"
"afekta","pos",64.07399609376,61.40899999998,"nicotinamide"
"cembio","pos",138.65599999998,129.903,"N-acetyl-L-methionine"
"cembio","pos",59.47300000002,61.40899999998,"nicotinamide"
"hmgu","pos",61.40899999998,61.40899999998,"nicotinamide"
"icl","pos",127.51899719238,129.903,"N-acetyl-L-methionine"
