"lab","polarity","rt_local","rt_aligned"
"afekta","neg",26.499,26.208499999995
"afekta","neg",27.0403133133133,26.7765436475072
"afekta","neg",27.5816266266266,27.3076090330989
"afekta","neg",28.1229399399399,27.8035308326158
"afekta","neg",28.6642532532532,28.2668022612654
"afekta","neg",29.2055665665665,28.7015121169741
"afekta","neg",29.7468798798798,29.1119861261778
"afekta","neg",30.2881931931931,29.5025500153122
"afekta","neg",30.8295065065064,29.8775295108131
"afekta","neg",31.3708198198197,30.2412503391161
"afekta","neg",31.912133133133,30.598038226657
"afekta","neg",32.4534464464463,30.9522188998717
"afekta","neg",32.9947597597596,31.3081180851958
"afekta","neg",33.5360730730729,31.67001311088
"afekta","neg",34.0773863863863,32.0403008059143
"afekta","neg",34.6186996996995,32.4189357311345
"afekta","neg",35.1600130130129,32.8057092834979
"afekta","neg",35.7013263263262,33.2004128599616
"afekta","neg",36.2426396396395,33.6028378574829
"afekta","neg",36.7839529529528,34.0127756730187
"afekta","neg",37.3252662662661,34.4300177035264
"afekta","neg",37.8665795795794,34.8543553459631
"afekta","neg",38.4078928928927,35.2855799972859
"afekta","neg",38.949206206206,35.7234830544519
"afekta","neg",39.4905195195193,36.1678559144184
"afekta","neg",40.0318328328326,36.6184899741426
"afekta","neg",40.5731461461459,37.0751766305814
"afekta","neg",41.1144594594592,37.5377072806922
"afekta","neg",41.6557727727725,38.0058733214321
"afekta","neg",42.1970860860858,38.4794661497582
"afekta","neg",42.7383993993991,38.9582771626277
"afekta","neg",43.2797127127124,39.4420977569978
"afekta","neg",43.8210260260257,39.9307193298256
"afekta","neg",44.362339339339,40.4239332780682
"afekta","neg",44.9036526526523,40.9215309986829
"afekta","neg",45.4449659659656,41.4233038886268
"afekta","neg",45.9862792792789,41.929043344857
"afekta","neg",46.5275925925922,42.4385407643308
"afekta","neg",47.0689059059055,42.9515875440052
"afekta","neg",47.6102192192188,43.4679750808374
"afekta","neg",48.1515325325321,43.9874947717846
"afekta","neg",48.6928458458454,44.509938013804
"afekta","neg",49.2341591591587,45.0350962038526
"afekta","neg",49.775472472472,45.5627607388878
"afekta","neg",50.3167857857853,46.0927235881993
"afekta","neg",50.8580990990987,46.6248358346192
"afekta","neg",51.3994124124119,47.1590582829909
"afekta","neg",51.9407257257253,47.6953636626483
"afekta","neg",52.4820390390386,48.2337247029255
"afekta","neg",53.0233523523519,48.7741141331564
"afekta","neg",53.5646656656652,49.3165046826752
