"mixture","lab","polarity","xcms_fts","compound","inchikey_2d","rt_sec","ionMass","adduct","cosmic"
"1.1","cembio","pos","176","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",83.89099999998,189.122299194336,"[M + H]+",0.679129940803007
"1.1","cembio","pos","180","N-acetyl-L-cysteine","PWKSKIMOESPYIA",87.876,164.037796020508,"[M + H]+",0.860010650628246
"1.1","cembio","pos","182","carnosine","CQOVPNPJLQNMDC",89.86900000002,249.095703125,"[M + H]+",0.120839194862072
"1.1","cembio","pos","191","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",98.83600000002,211.10400390625,"[M + Na]+",0.186384508822617
"1.1","cembio","neg","2","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",4.65499999998,187.10920715332,"[M - H]-",0.27661042922383
"1.1","cembio","neg","8","homocystine","ZTVZLYBCZNMWCF",10.63300000002,267.048095703125,"[M - H]-",0.0442112532151432
"1.1","cembio","neg","9","L-lysine","KDXKERNSBIXSRK",11.62999999998,145.098297119141,"[M - H]-",0.714068504766828
"1.1","cembio","neg","12","carnosine","CQOVPNPJLQNMDC",14.619,225.099502563477,"[M - H]-",0.0505168017296432
"1.1","cembio","neg","13","L-citrulline","RHGKLRLOHDJJDR",15.615,174.088500976563,"[M - H]-",0.300157772884396
"1.1","cembio","neg","15","glutathione","RWSXRVCMGQZWBV",17.60800000002,306.077087402344,"[M - H]-",0.240574975550103
"1.1","cembio","neg","20","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH",23.30299999998,260.033294677734,"[M - H]-",0.438760493871152
"1.1","cembio","neg","22","L-homoserine","UKAUYVFTDYCKQA",25.296,118.05110168457,"[M - H]-",0.759703597032768
"1.1","cembio","neg","24","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW",27.28900000002,258.038787841797,"[M - H]-",0.264533314903496
"1.1","cembio","neg","25","homocystine","ZTVZLYBCZNMWCF",28.28500000002,267.048095703125,"[M - H]-",0.586738021265006
"1.1","cembio","neg","26","L-lysine","KDXKERNSBIXSRK",29.28100000002,145.098297119141,"[M - H]-",0.700138600739294
"1.1","cembio","neg","27","uridine 5'-monophosphate","DJJCXFVJDGTHFX",30.27799999998,323.029113769531,"[M - H]-",0.458383261056887
"1.1","cembio","neg","30","L-citrulline","RHGKLRLOHDJJDR",33.26599999998,174.088500976563,"[M - H]-",0.513159676511458
"1.1","cembio","neg","32","glutathione","RWSXRVCMGQZWBV",35.259,306.077087402344,"[M - H]-",0.923890373635627
"1.1","cembio","neg","36","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",39.95800000002,187.10920715332,"[M - H]-",0.27875612492154
"1.1","cembio","neg","38","guanosine 5'-monophosphate","RQFCJASXJCIDSX",41.95099999998,362.051086425781,"[M - H]-",0.346900745365246
