"chrom_peak_id","lab","consensus_id","sample","mzMin","mzMax","rtMin","rtMax","mz","polarity","mixture","into","intb","maxo"
"CP007101","cembio",44,1,160.0552947178,160.096753176401,36.5603550705036,46.5649012973575,160.075572874585,1,"1_1",20288.9502772544,19671.0966703205,8686.6953125
"CP007122","cembio",47,1,205.04809679996,205.089006281521,35.2275552734946,46.5649012973575,205.068718846433,1,"1_1",112017.040755916,109908.665427113,46346.30078125
"CP007137","cembio",15,1,471.082858280637,471.125250801003,35.2275552734946,49.903183502534,471.104162667232,1,"1_1",65307.9957056718,64385.8668909804,21688.51953125
"CP007160","cembio",63,1,308.067543712273,308.111808711843,23.2088667921966,45.2303253376799,308.090149533976,1,"1_1",3423543.91091074,3419606.57632334,931647.4375
"CP007162","cembio",14,1,470.086720090097,470.12898641496,35.2275552734946,57.9166220003987,470.108551980545,1,"1_1",114076.634890121,111861.422642163,31719.951171875
"CP007168","cembio",46,1,204.045268607063,204.085911420675,35.2275552734946,46.5649012973575,204.065753341706,1,"1_1",943806.458296747,942597.302899246,420623.125
"CP007205","cembio",74,1,348.013286618666,348.061077240067,78.6468674350784,90.0077910946009,348.036942278657,1,"1_1",3467.71190078497,3345.49319279899,966.64306640625
"CP007210","cembio",76,1,377.940712502414,377.987685027119,77.9778732919009,90.6760878404141,377.964131046681,1,"1_1",13178.5755272475,12631.3839410239,2850.11767578125
"CP007215","cembio",57,1,283.020958963962,283.06389540098,78.6468674350784,92.0147325415906,283.041874173335,1,"1_1",14459.1423553401,14019.905168624,3274.56201171875
"CP007228","cembio",69,1,327.029493975351,327.071813205839,75.3031228865956,96.6987948001772,327.050319558438,1,"1_1",57130.2610195907,56816.706640436,11098.3408203125
"CP007307","cembio",13,1,469.085495053068,469.126485687138,34.560706049475,61.2567173528894,469.106011943781,1,"1_1",627938.17991901,625344.352236601,184780.1875
"CP007393","cembio",2,1,393.187177394838,393.23165712641,184.339799503906,195.100143150212,393.209365902583,1,"1_1",10653.7723488281,10499.3509113281,3078.93701171875
"CP007593","cembio",33,1,569.289184381792,569.334245009999,216.432318702515,227.313402050885,569.312955745502,1,"1_1",10129.9199473389,10067.8521247716,4471.03271484375
"CP007797","cembio",32,1,564.337110411043,564.379873050859,215.056872398542,230.752720096439,564.358948469656,1,"1_1",109749.501270689,108751.262244081,44216.8359375
"CP008269","cembio",55,1,261.087645547201,261.131048873855,315.339198745872,324.762336554469,261.110123653652,1,"1_1",5778.88952655099,5658.92711589577,1713.39123535156
"CP008654","cembio",70,1,328.983967454154,329.027716469978,381.041087269718,391.131235232097,329.005531179598,1,"1_1",7630.21964996126,7624.80542773902,2415.61083984375
"CP008833","cembio",75,1,354.262677164251,354.310459469981,412.151302312429,426.303036059884,354.285436954079,1,"1_1",29707.8236441085,28730.4131491858,12879.9375
"CP009106","cembio",68,1,326.356909087906,326.39910530956,461.822085821035,476.765121804609,326.378011774789,1,"1_1",23335.5630195606,21176.4328537168,6541.33056640625
"CP009223","cembio",49,1,228.208521624018,228.253086710963,486.469389633725,497.332918512436,228.231971726442,1,"1_1",15225.199008838,11304.5142418946,5480.85595703125
"CP009328","cembio",31,1,561.37511214155,561.419730668155,495.393483568519,506.95349805233,561.39682208676,1,"1_1",11410.8389483949,10623.0618432785,3312.31079101562
"CP009435","cembio",51,1,251.027267544771,251.06794904805,532.501993040306,540.627845245195,251.047633021928,1,"1_1",2668.97583663652,2665.59166996987,1195.68811035156
"CP009673","cembio",17,1,480.359643291817,480.406956448969,572.396172501729,580.520951201123,480.383858147804,1,"1_1",1884.77169829638,1881.38753162968,718.116638183594
"CP010047","cembio",8,1,425.193949865083,425.23874770659,516.006139214192,532.379122653195,425.214772168279,1,"1_1",117962.649084055,115831.163984818,47849.828125
"CP010218","cembio",58,1,284.273063444536,284.315075688188,590.056151201107,603.530951201122,284.294479739157,1,"1_1",56569.1079870833,52957.3933356298,16178.0810546875
"CP010221","cembio",6,1,411.28066612831,411.329032314194,577.197951201103,594.056151201107,411.307107405679,1,"1_1",21121.7558414281,19296.1497099015,4195.32861328125
"CP010252","cembio",53,1,256.243258485668,256.28404383061,537.315400506032,556.444909398832,256.263636651158,1,"1_1",203348.780624035,200164.281565249,63354.0703125
