"pass","lab","mix","inchikey_2d","rank"
"primary","afekta","1_1","AFBPFSWMIHJQDM",9
"primary","afekta","1_1","AGPKZVBTJJNPAG",1
"primary","afekta","1_1","AVFZOVWCLRSYKC",35
"primary","afekta","1_1","AYFVYJQAPQTCCC",1
"primary","afekta","1_1","CAHKINHBCWCHCF",2
"primary","afekta","1_1","CQOVPNPJLQNMDC",1
"primary","afekta","1_1","DCWXELXMIBXGTH",1
"primary","afekta","1_1","DJJCXFVJDGTHFX",1
"primary","afekta","1_1","DKEXFJVMVGETOO",15
"primary","afekta","1_1","DTERQYGMUDWYAZ",1
"primary","afekta","1_1","FOYHNROGBXVLLX",5
"primary","afekta","1_1","GFFGJBXGBJISGV",1
"primary","afekta","1_1","HXFOXFJUNFFYMO",1
"primary","afekta","1_1","JLTDJTHDQAWBAV",1
"primary","afekta","1_1","JMOXSQYGVIXBBZ",1
"primary","afekta","1_1","JOXIMZWYDAKGHI",1
"primary","afekta","1_1","JYPHNHPXFNEZBR",7
"primary","afekta","1_1","JZKXXXDKRQWDET",2
"primary","afekta","1_1","KDCGOANMDULRCW",1
"primary","afekta","1_1","KDXKERNSBIXSRK",1
"primary","afekta","1_1","KKEYFWRCBNTPAC",9
"primary","afekta","1_1","KNTFCRCCPLEUQZ",3
"primary","afekta","1_1","KPGXRSRHYNQIFN",4
"primary","afekta","1_1","KWIUHFFTVRNATP",1
"primary","afekta","1_1","KZSNJWFQEVHDMF",1
"primary","afekta","1_1","LDCYZAJDBXYCGN",1
"primary","afekta","1_1","LRQKBLKVPFOOQJ",6
"primary","afekta","1_1","LRTFPLFDLJYEKT",13
"primary","afekta","1_1","MOTZDAYCYVMXPC",1
"primary","afekta","1_1","NYHBQMYGNKIUIF",1
"primary","afekta","1_1","OISVCGZHLKNMSJ",1
"primary","afekta","1_1","OTCCIMWXFLJLIA",1
"primary","afekta","1_1","OUYCCCASQSFEME",1
"primary","afekta","1_1","PWKSKIMOESPYIA",1
"primary","afekta","1_1","RHGKLRLOHDJJDR",1
"primary","afekta","1_1","RNVCVTLRINQCPJ",8
"primary","afekta","1_1","ROHFNLRQFUQHCH",2
"primary","afekta","1_1","RQFCJASXJCIDSX",1
"primary","afekta","1_1","RWSXRVCMGQZWBV",1
"primary","afekta","1_1","SMEROWZSTRWXGI",1
"primary","afekta","1_1","SNDPXSYFESPGGJ",8
"primary","afekta","1_1","UFFBMTHBGFGIHF",1
"primary","afekta","1_1","UKAUYVFTDYCKQA",1
"primary","afekta","1_1","VEYYWZRYIYDQJM",2
"primary","afekta","1_1","WGQKYBSKWIADBV",13
"primary","afekta","1_1","XNGIFLGASWRNHJ",3
"primary","afekta","1_1","XUJNEKJLAYXESH",1
"primary","afekta","1_1","ZTVZLYBCZNMWCF",1
"primary","afekta","1_2","AFBPFSWMIHJQDM",9
"primary","afekta","1_2","AVFZOVWCLRSYKC",31
"primary","afekta","1_2","BKAYIFDRRZZKNF",1
"primary","afekta","1_2","CKLJMWTZIZZHCS",1
"primary","afekta","1_2","DLFVBJFMPXGRIB",13
"primary","afekta","1_2","DUUGKQCEGZLZNO",3
"primary","afekta","1_2","FDGQSTZJBFJUBT",1
"primary","afekta","1_2","FOYHNROGBXVLLX",4
"primary","afekta","1_2","FSYKKLYZXJSNPZ",1
"primary","afekta","1_2","GRSZFWQUAKGDAV",1
"primary","afekta","1_2","GSXOAOHZAIYLCY",5
"primary","afekta","1_2","HXXFSFRBOHSIMQ",1
"primary","afekta","1_2","IERHLVCPSMICTF",1
"primary","afekta","1_2","IJCKBIINTQEGLY",1
"primary","afekta","1_2","INCSQLZZXBPATR",4
"primary","afekta","1_2","JBCLFWXMTIKCCB",4
"primary","afekta","1_2","JLTDJTHDQAWBAV",1
"primary","afekta","1_2","JMOXSQYGVIXBBZ",1
"primary","afekta","1_2","JPIJQSOTBSSVTP",1
"primary","afekta","1_2","KDCGOANMDULRCW",1
"primary","afekta","1_2","KPGXRSRHYNQIFN",5
"primary","afekta","1_2","KSMRODHGGIIXDV",1
"primary","afekta","1_2","KTHDTJVBEPMMGL",1
"primary","afekta","1_2","KVQGGLZHHFGHPU",19
"primary","afekta","1_2","KWIUHFFTVRNATP",1
"primary","afekta","1_2","KZSNJWFQEVHDMF",1
"primary","afekta","1_2","LCQLHJZYVOQKHU",1
"primary","afekta","1_2","LRTFPLFDLJYEKT",9
"primary","afekta","1_2","MOTZDAYCYVMXPC",1
"primary","afekta","1_2","NBSCHQHZLSJFNQ",1
"primary","afekta","1_2","NBZBKCUXIYYUSX",3
"primary","afekta","1_2","NIDVTARKFBZMOT",1
"primary","afekta","1_2","OBETXYAYXDNJHR",22
"primary","afekta","1_2","OFCNXPDARWKPPY",16
"primary","afekta","1_2","OISVCGZHLKNMSJ",1
"primary","afekta","1_2","OKJIRPAQVSHGFK",1
"primary","afekta","1_2","OLNJUISKUQQNIM",2
"primary","afekta","1_2","OPTASPLRGRRNAP",1
"primary","afekta","1_2","OTCCIMWXFLJLIA",1
"primary","afekta","1_2","OVBPIULPVIDEAO",1
"primary","afekta","1_2","PLVPPLCLBIEYEA",1
"primary","afekta","1_2","PMZDQRJGMBOQBF",7
"primary","afekta","1_2","QIVBCDIJIAJPQS",1
"primary","afekta","1_2","QNAYBMKLOCPYGJ",3
"primary","afekta","1_2","RFMMMVDNIPUKGG",1
"primary","afekta","1_2","RNVCVTLRINQCPJ",7
"primary","afekta","1_2","UCMIRNVEIXFBKS",2
"primary","afekta","1_2","UFFBMTHBGFGIHF",1
"primary","afekta","1_2","WGQKYBSKWIADBV",14
"primary","afekta","1_2","XIGSAGMEBXLVJJ",1
"primary","afekta","1_2","XQCZBXHVTFVIFE",3
"primary","afekta","1_2","YGPSJZOEDVAXAB",1
"primary","afekta","1_3","AFBPFSWMIHJQDM",10
"primary","afekta","1_3","AVFZOVWCLRSYKC",28
"primary","afekta","1_3","AYEKOFBPNLCAJY",1
"primary","afekta","1_3","CKLJMWTZIZZHCS",1
"primary","afekta","1_3","DCXYFEDJOCDNAF",1
"primary","afekta","1_3","DKEXFJVMVGETOO",8
"primary","afekta","1_3","DOIRQSBPFJWKBE",1
"primary","afekta","1_3","DTERQYGMUDWYAZ",2
"primary","afekta","1_3","FOYHNROGBXVLLX",5
"primary","afekta","1_3","GSXOAOHZAIYLCY",1
"primary","afekta","1_3","GTZCVFVGUGFEME",2
"primary","afekta","1_3","HLKXYZVTANABHZ",1
"primary","afekta","1_3","HSCJRCZFDFQWRP",1
"primary","afekta","1_3","HXXFSFRBOHSIMQ",5
"primary","afekta","1_3","JJMDCOVWQOJGCB",19
"primary","afekta","1_3","JLTDJTHDQAWBAV",1
"primary","afekta","1_3","JMOXSQYGVIXBBZ",1
"primary","afekta","1_3","JSJWCHRYRHKBBW",6
"primary","afekta","1_3","KDCGOANMDULRCW",1
"primary","afekta","1_3","KRKNYBCHXYNGOX",2
"primary","afekta","1_3","KVQGGLZHHFGHPU",14
"primary","afekta","1_3","KWIUHFFTVRNATP",1
"primary","afekta","1_3","KZSNJWFQEVHDMF",15
"primary","afekta","1_3","LEVWYRKDKASIDU",1
"primary","afekta","1_3","LRTFPLFDLJYEKT",13
"primary","afekta","1_3","MOTZDAYCYVMXPC",1
"primary","afekta","1_3","NBSCHQHZLSJFNQ",1
"primary","afekta","1_3","NBZBKCUXIYYUSX",3
"primary","afekta","1_3","NYHBQMYGNKIUIF",1
"primary","afekta","1_3","ODBLHEXUDAPZAU",1
"primary","afekta","1_3","ODHCTXKNWHHXJC",1
"primary","afekta","1_3","ODKSFYDXXFIFQN",1
"primary","afekta","1_3","OISVCGZHLKNMSJ",1
"primary","afekta","1_3","RFMMMVDNIPUKGG",1
"primary","afekta","1_3","RNVCVTLRINQCPJ",9
"primary","afekta","1_3","SBJKKFFYIZUCET",10
"primary","afekta","1_3","SQVRNKJHWKZAKO",1
"primary","afekta","1_3","UFFBMTHBGFGIHF",1
"primary","afekta","1_3","UYTPUPDQBNUYGX",2
"primary","afekta","1_3","VEYYWZRYIYDQJM",1
"primary","afekta","1_3","WGQKYBSKWIADBV",13
"primary","afekta","1_3","WTDRDQBEARUVNC",1
"primary","afekta","1_3","YMAWOPBAYDPSLA",20
"primary","afekta","1_4","AFBPFSWMIHJQDM",8
"primary","afekta","1_4","APGLTERDKORUHK",22
"primary","afekta","1_4","BTCSSZJGUNDROE",25
"primary","afekta","1_4","BZQFBWGGLXLEPQ",1
"primary","afekta","1_4","COLNVLDHVKWLRT",9
"primary","afekta","1_4","CVSVTCORWBXHQV",1
"primary","afekta","1_4","DLFVBJFMPXGRIB",16
"primary","afekta","1_4","DOIRQSBPFJWKBE",3
"primary","afekta","1_4","DRTQHJPVMGBUCF",1
"primary","afekta","1_4","FFDGPVCHZBVARC",21
"primary","afekta","1_4","FOYHNROGBXVLLX",3
"primary","afekta","1_4","FUOOLUPWFVMBKG",23
"primary","afekta","1_4","HEBKCHPVOIAQTA",1
"primary","afekta","1_4","HOKKHZGPKSLGJE",11
"primary","afekta","1_4","HSCJRCZFDFQWRP",1
"primary","afekta","1_4","IHCCAYCGZOLTEU",1
"primary","afekta","1_4","ISAKRJDGNUQOIC",1
"primary","afekta","1_4","JBCLFWXMTIKCCB",29
"primary","afekta","1_4","JFLIEFSWGNOPJJ",1
"primary","afekta","1_4","JJIHLJJYMXLCOY",1
"primary","afekta","1_4","JLTDJTHDQAWBAV",1
"primary","afekta","1_4","JMOXSQYGVIXBBZ",1
"primary","afekta","1_4","KDCGOANMDULRCW",1
"primary","afekta","1_4","KDXKERNSBIXSRK",1
"primary","afekta","1_4","KHWCHTKSEGGWEX",1
"primary","afekta","1_4","KMXXSJLYVJEBHI",2
"primary","afekta","1_4","KRKNYBCHXYNGOX",1
"primary","afekta","1_4","KWIUHFFTVRNATP",1
"primary","afekta","1_4","LRTFPLFDLJYEKT",9
"primary","afekta","1_4","LTFMZDNNPPEQNG",1
"primary","afekta","1_4","MOTZDAYCYVMXPC",1
"primary","afekta","1_4","NTNWOCRCBQPEKQ",2
"primary","afekta","1_4","ODBLHEXUDAPZAU",2
"primary","afekta","1_4","ODHCTXKNWHHXJC",1
"primary","afekta","1_4","OIPILFWXSMYKGL",5
"primary","afekta","1_4","OISVCGZHLKNMSJ",1
"primary","afekta","1_4","QCHPKSFMDHPSNR",6
"primary","afekta","1_4","QIAFMBKCNZACKA",1
"primary","afekta","1_4","QUOGESRFPZDMMT",1
"primary","afekta","1_4","QWCKQJZIFLGMSD",28
"primary","afekta","1_4","RNVCVTLRINQCPJ",9
"primary","afekta","1_4","SMNDYUVBFMFKNZ",2
"primary","afekta","1_4","SUHOOTKUPISOBE",1
"primary","afekta","1_4","UDMBCSSLTHHNCD",2
"primary","afekta","1_4","UFFBMTHBGFGIHF",1
"primary","afekta","1_4","UZCXPYDBYUEZCV",2
"primary","afekta","1_4","VZXPDPZARILFQX",2
"primary","afekta","1_4","WGQKYBSKWIADBV",14
"primary","afekta","1_4","WHUUTDBJXJRKMK",11
"primary","afekta","1_4","XCCTYIAWTASOJW",1
"primary","afekta","1_4","YHHSONZFOIEMCP",1
"primary","afekta","1_5","AEFLONBTGZFSGQ",2
"primary","afekta","1_5","AFBPFSWMIHJQDM",11
"primary","afekta","1_5","AUNGANRZJHBGPY",1
"primary","afekta","1_5","AWUCVROLDVIAJX",1
"primary","afekta","1_5","AYFVYJQAPQTCCC",4
"primary","afekta","1_5","CAHKINHBCWCHCF",1
"primary","afekta","1_5","DBZAKQWXICEWNW",15
"primary","afekta","1_5","DFPAKSUCGFBDDF",1
"primary","afekta","1_5","DHCLVCXQIBBOPH",2
"primary","afekta","1_5","DOIRQSBPFJWKBE",1
"primary","afekta","1_5","FOYHNROGBXVLLX",6
"primary","afekta","1_5","FSYKKLYZXJSNPZ",2
"primary","afekta","1_5","GSXOAOHZAIYLCY",8
"primary","afekta","1_5","HNJBEVLQSNELDL",20
"primary","afekta","1_5","HXXFSFRBOHSIMQ",1
"primary","afekta","1_5","JLTDJTHDQAWBAV",1
"primary","afekta","1_5","JMOXSQYGVIXBBZ",2
"primary","afekta","1_5","KDCGOANMDULRCW",1
"primary","afekta","1_5","KNTFCRCCPLEUQZ",1
"primary","afekta","1_5","KPGXRSRHYNQIFN",5
"primary","afekta","1_5","KTHDTJVBEPMMGL",1
"primary","afekta","1_5","KWIUHFFTVRNATP",1
"primary","afekta","1_5","KZSNJWFQEVHDMF",17
"primary","afekta","1_5","LRTFPLFDLJYEKT",13
"primary","afekta","1_5","MTCFGRXMJLQNBG",1
"primary","afekta","1_5","NBSCHQHZLSJFNQ",3
"primary","afekta","1_5","ODHCTXKNWHHXJC",1
"primary","afekta","1_5","ODKSFYDXXFIFQN",1
"primary","afekta","1_5","OISVCGZHLKNMSJ",1
"primary","afekta","1_5","OPTASPLRGRRNAP",1
"primary","afekta","1_5","PAFZNILMFXTMIY",5
"primary","afekta","1_5","QNAYBMKLOCPYGJ",1
"primary","afekta","1_5","RNVCVTLRINQCPJ",8
"primary","afekta","1_5","SXQFCVDSOLSHOQ",15
"primary","afekta","1_5","UCMIRNVEIXFBKS",3
"primary","afekta","1_5","UFFBMTHBGFGIHF",3
"primary","afekta","1_5","UHDGCWIWMRVCDJ",1
"primary","afekta","1_5","UKAUYVFTDYCKQA",15
"primary","afekta","1_5","VZXPDPZARILFQX",14
"primary","afekta","1_5","WGQKYBSKWIADBV",13
"primary","afekta","1_5","WHUUTDBJXJRKMK",1
"primary","afekta","1_5","XQCZBXHVTFVIFE",2
"primary","afekta","1_5","XVOYSCVBGLVSOL",1
"primary","afekta","1_5","ZDXPYRJPNDTMRX",1
"primary","afekta","1_6","ACWBBAGYTKWBCD",1
"primary","afekta","1_6","AFBPFSWMIHJQDM",9
"primary","afekta","1_6","AVFZOVWCLRSYKC",21
"primary","afekta","1_6","AYFVYJQAPQTCCC",1
"primary","afekta","1_6","DOIRQSBPFJWKBE",1
"primary","afekta","1_6","FOYHNROGBXVLLX",4
"primary","afekta","1_6","HEBKCHPVOIAQTA",1
"primary","afekta","1_6","HNDVDQJCIGZPNO",1
"primary","afekta","1_6","JLTDJTHDQAWBAV",1
"primary","afekta","1_6","JMOXSQYGVIXBBZ",1
"primary","afekta","1_6","KDCGOANMDULRCW",1
"primary","afekta","1_6","KNTFCRCCPLEUQZ",2
"primary","afekta","1_6","KPGXRSRHYNQIFN",6
"primary","afekta","1_6","KWIUHFFTVRNATP",1
"primary","afekta","1_6","KZSNJWFQEVHDMF",17
"primary","afekta","1_6","LEVWYRKDKASIDU",1
"primary","afekta","1_6","MOTZDAYCYVMXPC",1
"primary","afekta","1_6","MTCFGRXMJLQNBG",1
"primary","afekta","1_6","ODHCTXKNWHHXJC",1
"primary","afekta","1_6","OISVCGZHLKNMSJ",1
"primary","afekta","1_6","QEFRNWWLZKMPFJ",1
"primary","afekta","1_6","RBNPOMFGQQGHHO",5
"primary","afekta","1_6","RNVCVTLRINQCPJ",7
"primary","afekta","1_6","SMEROWZSTRWXGI",1
"primary","afekta","1_6","SNEIUMQYRCDYCH",1
"primary","afekta","1_6","UFFBMTHBGFGIHF",7
"primary","afekta","1_6","UKAUYVFTDYCKQA",16
"primary","afekta","1_6","VVIAGPKUTFNRDU",1
"primary","afekta","1_6","WGQKYBSKWIADBV",13
"primary","afekta","2_1","AFBPFSWMIHJQDM",10
"primary","afekta","2_1","AGPKZVBTJJNPAG",1
"primary","afekta","2_1","BSYNRYMUTXBXSQ",19
"primary","afekta","2_1","CGQCWMIAEPEHNQ",1
"primary","afekta","2_1","CLFRCXCBWIQVRN",3
"primary","afekta","2_1","COLNVLDHVKWLRT",1
"primary","afekta","2_1","CUOKHACJLGPRHD",13
"primary","afekta","2_1","DOIRQSBPFJWKBE",3
"primary","afekta","2_1","DVNYTAVYBRSTGK",1
"primary","afekta","2_1","FERIUCNNQQJTOY",1
"primary","afekta","2_1","FJKROLUGYXJWQN",1
"primary","afekta","2_1","FOYHNROGBXVLLX",4
"primary","afekta","2_1","FZWGECJQACGGTI",1
"primary","afekta","2_1","GBKGJMYPQZODMI",15
"primary","afekta","2_1","HGINADPHJQTSKN",4
"primary","afekta","2_1","IBGBGRVKPALMCQ",2
"primary","afekta","2_1","IJFXRHURBJZNAO",5
"primary","afekta","2_1","JBCLFWXMTIKCCB",1
"primary","afekta","2_1","JECYUBVRTQDVAT",16
"primary","afekta","2_1","JFCQEDHGNNZCLN",6
"primary","afekta","2_1","JLTDJTHDQAWBAV",1
"primary","afekta","2_1","JMOXSQYGVIXBBZ",2
"primary","afekta","2_1","KDCGOANMDULRCW",1
"primary","afekta","2_1","KDYFGRWQOYBRFD",2
"primary","afekta","2_1","KPGXRSRHYNQIFN",7
"primary","afekta","2_1","KQNPFQTWMSNSAP",17
"primary","afekta","2_1","KWIUHFFTVRNATP",1
"primary","afekta","2_1","KZSNJWFQEVHDMF",1
"primary","afekta","2_1","LRQKBLKVPFOOQJ",9
"primary","afekta","2_1","LRSASMSXMSNRBT",1
"primary","afekta","2_1","LRTFPLFDLJYEKT",9
"primary","afekta","2_1","LUCHPKXVUGJYGU",1
"primary","afekta","2_1","MOTZDAYCYVMXPC",1
"primary","afekta","2_1","NHZMQXZHNVQTQA",1
"primary","afekta","2_1","OGHAROSJZRTIOK",8
"primary","afekta","2_1","OIRDTQYFTABQOQ",3
"primary","afekta","2_1","OISVCGZHLKNMSJ",1
"primary","afekta","2_1","PXQPEWDEAKTCGB",2
"primary","afekta","2_1","QHGUCRYDKWKLMG",6
"primary","afekta","2_1","RADKZDMFGJYCBB",1
"primary","afekta","2_1","RNVCVTLRINQCPJ",8
"primary","afekta","2_1","ROHFNLRQFUQHCH",2
"primary","afekta","2_1","UFFBMTHBGFGIHF",2
"primary","afekta","2_1","UKFXDFUAPNAMPJ",1
"primary","afekta","2_1","UYTPUPDQBNUYGX",2
"primary","afekta","2_1","VYFYYTLLBUKUHU",1
"primary","afekta","2_1","WGQKYBSKWIADBV",10
"primary","afekta","2_1","WXUAQHNMJWJLTG",2
"primary","afekta","2_1","YGSDEFSMJLZEOE",4
"primary","afekta","2_1","YKBGVTZYEHREMT",1
"primary","afekta","2_1","ZIYVHBGGAOATLY",1
"primary","afekta","2_1","ZWLPBLYKEWSWPD",3
"primary","afekta","2_1","ZXYAAVBXHKCJJB",1
"primary","afekta","2_10","AEMOLEFTQBMNLQ",1
"primary","afekta","2_10","AFBPFSWMIHJQDM",7
"primary","afekta","2_10","AGPKZVBTJJNPAG",7
"primary","afekta","2_10","AXFYFNCPONWUHW",7
"primary","afekta","2_10","BGTOWKSIORTVQH",19
"primary","afekta","2_10","BHHGXPLMPWCGHP",30
"primary","afekta","2_10","DHMQDGOQFOQNFH",1
"primary","afekta","2_10","DIVQKHQLANKJQO",1
"primary","afekta","2_10","DUUGKQCEGZLZNO",1
"primary","afekta","2_10","FOYHNROGBXVLLX",4
"primary","afekta","2_10","GJAWHXHKYYXBSV",1
"primary","afekta","2_10","HXEACLLIILLPRG",1
"primary","afekta","2_10","IHYJTAOFMMMOPX",2
"primary","afekta","2_10","IPBVNPXQWQGGJP",18
"primary","afekta","2_10","JJMDCOVWQOJGCB",14
"primary","afekta","2_10","JLTDJTHDQAWBAV",1
"primary","afekta","2_10","JMOXSQYGVIXBBZ",1
"primary","afekta","2_10","KDCGOANMDULRCW",1
"primary","afekta","2_10","KPGXRSRHYNQIFN",4
"primary","afekta","2_10","KWIUHFFTVRNATP",1
"primary","afekta","2_10","KZSNJWFQEVHDMF",7
"primary","afekta","2_10","LEHOTFFKMJEONL",1
"primary","afekta","2_10","LOIYMIARKYCTBW",1
"primary","afekta","2_10","LRTFPLFDLJYEKT",11
"primary","afekta","2_10","LVRFTAZAXQPQHI",1
"primary","afekta","2_10","LZCLXQDLBQLTDK",15
"primary","afekta","2_10","MBIQENSCDNJOIY",2
"primary","afekta","2_10","MOTZDAYCYVMXPC",1
"primary","afekta","2_10","NGEWQZIDQIYUNV",1
"primary","afekta","2_10","OFOBLEOULBTSOW",1
"primary","afekta","2_10","OISVCGZHLKNMSJ",1
"primary","afekta","2_10","ONIBWKKTOPOVIA",1
"primary","afekta","2_10","PAFZNILMFXTMIY",25
"primary","afekta","2_10","PKZJLOCLABXVMC",13
"primary","afekta","2_10","PMMYEEVYMWASQN",1
"primary","afekta","2_10","PMZDQRJGMBOQBF",11
"primary","afekta","2_10","PVNIIMVLHYAWGP",2
"primary","afekta","2_10","QUKGYYKBILRGFE",10
"primary","afekta","2_10","RNVCVTLRINQCPJ",7
"primary","afekta","2_10","ROHFNLRQFUQHCH",1
"primary","afekta","2_10","SIOXPEMLGUPBBT",1
"primary","afekta","2_10","TWBYWOBDOCUKOW",1
"primary","afekta","2_10","UFFBMTHBGFGIHF",2
"primary","afekta","2_10","WGQKYBSKWIADBV",12
"primary","afekta","2_10","WJJMNDUMQPNECX",6
"primary","afekta","2_10","ZGXJTSGNIOSYLO",9
"primary","afekta","2_10","ZRQXMKMBBMNNQC",1
"primary","afekta","2_10","ZRSNZINYAWTAHE",14
"primary","afekta","2_2","AFBPFSWMIHJQDM",9
"primary","afekta","2_2","ASWBNKHCZGQVJV",1
"primary","afekta","2_2","AUYYCJSJGJYCDS",1
"primary","afekta","2_2","BOLQJTPHPSDZHR",1
"primary","afekta","2_2","BVWTXUYLKBHMOX",10
"primary","afekta","2_2","CBQJSKKFNMDLON",1
"primary","afekta","2_2","CERQOIWHTDAKMF",1
"primary","afekta","2_2","COLNVLDHVKWLRT",1
"primary","afekta","2_2","DCXYFEDJOCDNAF",5
"primary","afekta","2_2","DKMROQRQHGEIOW",9
"primary","afekta","2_2","DOIRQSBPFJWKBE",1
"primary","afekta","2_2","DTUQWGWMVIHBKE",5
"primary","afekta","2_2","DWRXFEITVBNRMK",4
"primary","afekta","2_2","DZGWFCGJZKJUFP",1
"primary","afekta","2_2","FFEARJCKVFRZRR",1
"primary","afekta","2_2","FOYHNROGBXVLLX",5
"primary","afekta","2_2","FXLOVSHXALFLKQ",2
"primary","afekta","2_2","GBKGJMYPQZODMI",2
"primary","afekta","2_2","GNMSLDIYJOSUSW",1
"primary","afekta","2_2","HCZHHEIFKROPDY",1
"primary","afekta","2_2","HGINADPHJQTSKN",16
"primary","afekta","2_2","HXNFUBHNUDHIGC",1
"primary","afekta","2_2","IGMNYECMUMZDDF",14
"primary","afekta","2_2","IIGNZLVHOZEOPV",7
"primary","afekta","2_2","IPBVNPXQWQGGJP",11
"primary","afekta","2_2","IZZIWIAOVZOBLF",1
"primary","afekta","2_2","JECYUBVRTQDVAT",18
"primary","afekta","2_2","JFCQEDHGNNZCLN",1
"primary","afekta","2_2","JLPJFSCQKHRSQR",19
"primary","afekta","2_2","JLTDJTHDQAWBAV",1
"primary","afekta","2_2","JMOXSQYGVIXBBZ",1
"primary","afekta","2_2","JSJWCHRYRHKBBW",1
"primary","afekta","2_2","JTEJPPKMYBDEMY",1
"primary","afekta","2_2","JZRWCGZRTZMZEH",1
"primary","afekta","2_2","KDCGOANMDULRCW",1
"primary","afekta","2_2","KKSDGJDHHZEWEP",1
"primary","afekta","2_2","KPGXRSRHYNQIFN",5
"primary","afekta","2_2","KTHADMDGDNYQRX",18
"primary","afekta","2_2","KWIUHFFTVRNATP",1
"primary","afekta","2_2","KWOLFJPFCHCOCG",8
"primary","afekta","2_2","KZSNJWFQEVHDMF",14
"primary","afekta","2_2","LDHQCZJRKDOVOX",2
"primary","afekta","2_2","LRFVTYWOQMYALW",1
"primary","afekta","2_2","LRTFPLFDLJYEKT",14
"primary","afekta","2_2","LUJMEECXHPYQOF",19
"primary","afekta","2_2","MOTZDAYCYVMXPC",1
"primary","afekta","2_2","NGSWKAQJJWESNS",2
"primary","afekta","2_2","ODHCTXKNWHHXJC",1
"primary","afekta","2_2","OIPILFWXSMYKGL",9
"primary","afekta","2_2","OISVCGZHLKNMSJ",1
"primary","afekta","2_2","OMFXVFTZEKFJBZ",1
"primary","afekta","2_2","ONIBWKKTOPOVIA",1
"primary","afekta","2_2","PETRWTHZSKVLRE",2
"primary","afekta","2_2","PHOQVHQSTUBQQK",1
"primary","afekta","2_2","QRMZSPFSDQBLIX",1
"primary","afekta","2_2","RGHNJXZEOKUKBD",1
"primary","afekta","2_2","RNVCVTLRINQCPJ",10
"primary","afekta","2_2","SMEROWZSTRWXGI",1
"primary","afekta","2_2","SXZYCXMUPBBULW",2
"primary","afekta","2_2","TUHVEAJXIMEOSA",1
"primary","afekta","2_2","UDSFAEKRVUSQDD",1
"primary","afekta","2_2","UFFBMTHBGFGIHF",1
"primary","afekta","2_2","UKFXDFUAPNAMPJ",3
"primary","afekta","2_2","UQTZMGFTRHFAAM",1
"primary","afekta","2_2","WGQKYBSKWIADBV",13
"primary","afekta","2_2","WKOLLVMJNQIZCI",3
"primary","afekta","2_2","WUAXWQRULBZETB",6
"primary","afekta","2_2","WXUAQHNMJWJLTG",7
"primary","afekta","2_2","YBJHBAHKTGYVGT",1
"primary","afekta","2_2","ZYGHJZDHTFUPRJ",4
"primary","afekta","2_2","ZZVUWRFHKOJYTH",8
"primary","afekta","2_3","AEFLONBTGZFSGQ",1
"primary","afekta","2_3","AFBPFSWMIHJQDM",10
"primary","afekta","2_3","AGPKZVBTJJNPAG",2
"primary","afekta","2_3","AXFYFNCPONWUHW",5
"primary","afekta","2_3","BLHCMGRVFXRYRN",1
"primary","afekta","2_3","BRARRAHGNDUELT",14
"primary","afekta","2_3","BRRSNXCXLSVPFC",2
"primary","afekta","2_3","CCVYRRGZDBSHFU",2
"primary","afekta","2_3","DZTHIGRZJZPRDV",1
"primary","afekta","2_3","FDGQSTZJBFJUBT",1
"primary","afekta","2_3","FOYHNROGBXVLLX",5
"primary","afekta","2_3","FVMDYYGIDFPZAX",3
"primary","afekta","2_3","FYGDTMLNYKFZSV",14
"primary","afekta","2_3","HNEGQIOMVPPMNR",3
"primary","afekta","2_3","IAOZJIPTCAWIRG",8
"primary","afekta","2_3","ISAKRJDGNUQOIC",1
"primary","afekta","2_3","IWYDHOAUDWTVEP",1
"primary","afekta","2_3","JDTWZSUNGHMMJM",2
"primary","afekta","2_3","JFLIEFSWGNOPJJ",7
"primary","afekta","2_3","JKLRIMRKZBSSED",1
"primary","afekta","2_3","JLTDJTHDQAWBAV",1
"primary","afekta","2_3","JMOXSQYGVIXBBZ",1
"primary","afekta","2_3","KDCGOANMDULRCW",1
"primary","afekta","2_3","KPGXRSRHYNQIFN",6
"primary","afekta","2_3","KWIUHFFTVRNATP",1
"primary","afekta","2_3","LNTHITQWFMADLM",1
"primary","afekta","2_3","LRQKBLKVPFOOQJ",16
"primary","afekta","2_3","LRTFPLFDLJYEKT",12
"primary","afekta","2_3","LVHBHZANLOWSRM",1
"primary","afekta","2_3","LVRFTAZAXQPQHI",1
"primary","afekta","2_3","MBIQENSCDNJOIY",2
"primary","afekta","2_3","MOTZDAYCYVMXPC",1
"primary","afekta","2_3","MUPFEKGTMRGPLJ",1
"primary","afekta","2_3","MVAWJSIDNICKHF",1
"primary","afekta","2_3","NGEWQZIDQIYUNV",1
"primary","afekta","2_3","OFCNXPDARWKPPY",16
"primary","afekta","2_3","OISVCGZHLKNMSJ",1
"primary","afekta","2_3","ONFOSYPQQXJWGS",1
"primary","afekta","2_3","ONIBWKKTOPOVIA",1
"primary","afekta","2_3","PRJKNHOMHKJCEJ",1
"primary","afekta","2_3","QAFBDRSXXHEXGB",3
"primary","afekta","2_3","QWIZNVHXZXRPDR",7
"primary","afekta","2_3","QZAYGJVTTNCVMB",1
"primary","afekta","2_3","RNVCVTLRINQCPJ",10
"primary","afekta","2_3","ROHFNLRQFUQHCH",1
"primary","afekta","2_3","RWQNBRDOKXIBIV",17
"primary","afekta","2_3","SMEROWZSTRWXGI",1
