"mixture","lab","polarity","compound","adduct","source","areaUnderTic","xicFwhm","maxIntensity","apex_rt","snr","baseline","noise","n_scans_in_shape","prior_kind","detection"
"1.4","hmgu","pos","N-benzoylglycine","[M + H]+","consensus",7598.26679234412,1.37500000002001,3094.98656176308,183.07600000002,3091.97960606545,3.00695569763002,1,4,"consensus","detected"
"1.4","hmgu","pos","N-benzoylglycine","[M + Na]+","consensus",7626.82254005068,1.37500000002001,3284.10216241851,182.38099999998,1209.08943614711,7.98911354266238,2.70957048414511,4,"consensus","detected"
"1.4","hmgu","pos","O-phospho-L-serine","[M + H]+","consensus",10102.9047565312,41.346,44.9917446315339,48.65599999998,41.8854081886814,3.10633644285258,1,5,"consensus","detected"
"1.4","hmgu","pos","O-phosphoethanolamine","[M + Na]+","consensus",1001.9096442861,NA,716.212194733065,25.449,47.2274951091892,24.4632309842923,14.6471660660694,3,"consensus","detected"
"1.4","hmgu","pos","citric acid","[M + H]+","consensus",919.148536431765,NA,482.008085068937,39.723,478.843717972056,3.16436709688105,1,3,"consensus","detected"
"1.4","hmgu","pos","creatine","[M + H]+","consensus",21195.2464762377,3.633,601.010602866481,29.082,113.065623243353,4.81281892443667,5.27302434497565,4,"consensus","detected"
"1.4","hmgu","pos","creatine","[M + Na]+","consensus",1970.35345547521,12.003,158.581797201594,40.407,27.7706570614455,6.52019518510087,5.4756213250569,3,"consensus","detected"
"1.4","hmgu","pos","glutathione disulfide","[M + H]+","consensus",170252.654046626,2.78500000001999,8531.11405159923,40.407,1703.90776831861,6.36745290260296,5.00305636091366,4,"consensus","detected"
"1.4","hmgu","pos","glycine","[M + H]+","own",NA,NA,NA,672.74800000002,6.98313741269914,2.49855286822014,1,1,"consensus","below_detection"
"1.4","hmgu","pos","uridine","[M + H]+","consensus",NA,NA,NA,104.11999999998,4.19843680051956,18.4027820209189,8.46522206357204,3,"consensus","below_detection"
"1.4","hmgu","pos","uridine","[M + Na]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"1.5","hmgu","pos","(2R)-2-amino-3-methoxypropanoic acid","[M + H]+","consensus",3603.41595556497,3.534,33.2480954714902,29.04100000002,8.31121846464245,4.22649652713517,3.49185851242132,4,"consensus","detected"
"1.5","hmgu","pos","3-amino-L-alanine","[M + H]+","own",1185.90979816412,2.12599999998,327.438602710513,23.39500000002,95.9430036182766,3.20061067875019,3.37948552582105,4,"own","detected"
"1.5","hmgu","pos","3-amino-L-alanine","[M + Na]+","consensus",882.046337420562,0.717000000000002,78.7541008133119,23.39500000002,36.9946869560683,7.37035602688411,1.9295674773839,2,"consensus","detected"
"1.5","hmgu","pos","D-arginine","[M + H]+","consensus",79905.1645710746,9.18799999998,7643.62394935935,31.209,3207.30078680744,3.88901239995221,2.38198268412611,5,"consensus","detected"
"1.5","hmgu","pos","D-arginine","[M + Na]+","consensus",NA,NA,NA,33.27700000002,-1.17090235573451,43.2185795258774,16.297329520823,3,"consensus","below_detection"
"1.5","hmgu","pos","L-alanine","[M + H]+","own",1655.16336776201,1.419,620.027953325564,42.49900000002,51.1187395267127,17.6393372888606,11.784105430102,5,"own","detected"
"1.5","hmgu","pos","L-cystine","[M + H]+","consensus",213478.39019637,1.35400000002,73178.3727226097,24.84,20896.0185852636,5.81724859312908,3.50174628604225,4,"consensus","detected"
"1.5","hmgu","pos","L-glutamic acid","[M + H]+","consensus",3828.27055674508,1.41099999996,596.288127442524,26.19400000002,151.668393660696,4.78279869025027,3.89999072631808,5,"consensus","detected"
"1.5","hmgu","pos","L-glutamine","[M + H]+","consensus",3891.25216800074,1.35400000002,1263.36152064478,25.50700000002,636.580358420838,2.76214637995599,1.98026746755426,4,"consensus","detected"
"1.5","hmgu","pos","L-glutamine","[M + Na]+","consensus",3891.25216800074,1.35400000002,1263.36152064478,25.50700000002,636.580358420838,2.76214637995599,1.98026746755426,4,"consensus","detected"
"1.5","hmgu","pos","L-serine","[M + H]+","consensus",NA,NA,NA,49.23700000002,3.2348341057447,6.84720337814269,2.74824747156278,4,"consensus","below_detection"
"1.5","hmgu","pos","N,N,N-trimethylglycinium","[M + H]+","consensus",118.044672952263,5.40799999998001,25.4683084744356,408.21199999998,5.10097941956245,7.82407826849453,3.45898870681085,4,"consensus","detected"
"1.5","hmgu","pos","N-acetyl-L-alanine","[M + H]+","own",2301.39439802349,NA,263.848905838508,41.77900000002,61.298138439805,10.6384008529021,4.13080252403194,3,"consensus","detected"
"1.5","hmgu","pos","N-acetyl-L-alanine","[M + Na]+","consensus",2623.01152679142,1.419,943.428874740023,42.49900000002,939.781351551689,3.64752318833462,1,5,"consensus","detected"
"1.5","hmgu","pos","N-acetyl-L-tyrosine","[M + H]+","consensus",8424.84919757784,1.39300000001998,3075.88053302603,155.21500000002,749.450673309917,5.4991664999875,4.09684249527169,5,"consensus","detected"
"1.5","hmgu","pos","alpha-D-glucose 1-phosphate","[M + Na]+","consensus",7961.78286327831,12.87199999998,1161.216308256,38.379,309.003752903075,3.95522184235233,3.7451360235636,3,"consensus","detected"
"1.5","hmgu","pos","cysteic acid","[M + H]+","consensus",3313.45782142252,0.733000000020006,1201.1926105992,38.379,143.633779369121,8.90909049722814,8.30085739816086,3,"consensus","detected"
"1.5","hmgu","pos","cysteic acid","[M + K]+","consensus",1453.9116784013,0.733000000020006,363.632057317125,38.379,104.531577782799,8.65316530392192,3.39590102381116,3,"consensus","detected"
"1.5","hmgu","pos","cytidine","[M + H]+","consensus",20716.5380206642,7.77,89.762574055494,31.902,86.2042309506942,3.55834310479986,1,5,"consensus","detected"
"1.6","hmgu","pos","(6S)-5-formyltetrahydrofolic acid","[M + H]+","consensus",1341.27294663698,2.07000000000002,451.012857480004,184.14499999998,31.4961400872149,27.8343166918294,13.4358857820789,5,"consensus","detected"
