"mixture","lab","polarity","extracted","annotated","missing","pct_kept"
"3.1","icl","neg",470,470,0,100
"3.2","afekta","pos",370,370,0,100
"3.2","afekta","neg",339,339,0,100
"3.2","cembio","pos",435,435,0,100
"3.2","cembio","neg",256,256,0,100
"3.2","hmgu","pos",1059,1059,0,100
"3.2","hmgu","neg",1042,1042,0,100
"3.2","icl","pos",474,474,0,100
"3.2","icl","neg",466,466,0,100
"3.3","afekta","pos",356,356,0,100
"3.3","afekta","neg",342,342,0,100
"3.3","cembio","pos",249,249,0,100
"3.3","cembio","neg",266,266,0,100
"3.3","hmgu","pos",1063,1063,0,100
"3.3","hmgu","neg",1036,1036,0,100
"3.3","icl","pos",473,473,0,100
"3.3","icl","neg",468,468,0,100
