"mixture","lab","compound","inchikey_2d","polarity","best_formula_rank","best_structure_rank","adducts","molecularFormula","expected_formula","expected_inchikey","mz_observed","confidenceExactMatch","confidenceApproxMatch","confidence_tier"
"1.3","cembio","D-alanine","QNAYBMKLOCPYGJ","pos",1,10,"[M + H]+","C3H7NO2","C3H7NO2","QNAYBMKLOCPYGJ-UWTATZPHSA-N",NA,NA,NA,"D"
"1.3","cembio","N-acetyl-L-glutamic acid","RFMMMVDNIPUKGG","neg",1,1,"[M - H]-","C7H11NO5","C7H11NO5","RFMMMVDNIPUKGG-YFKPBYRVSA-N",188.056594848633,0.985348638864329,0.995455827834674,"C"
"1.3","cembio","N-acetyl-L-glutamic acid","RFMMMVDNIPUKGG","pos",1,1,"[M + H]+","C7H11NO5","C7H11NO5","RFMMMVDNIPUKGG-YFKPBYRVSA-N",190.071197509766,0.996412077859548,0.997862428121813,"C"
"1.3","cembio","N-acetyl-beta-neuraminic acid","SQVRNKJHWKZAKO","neg",3,1,"[M - H]-","C11H19NO9","C11H19NO9","SQVRNKJHWKZAKO-PFQGKNLYSA-N",308.099212646484,0.747007580192988,0.923236445389548,"B"
"1.3","cembio","N-acetyl-beta-neuraminic acid","SQVRNKJHWKZAKO","pos",2,1,"[M + Na]+","C11H19NO9","C11H19NO9","SQVRNKJHWKZAKO-PFQGKNLYSA-N",332.095397949219,0.067540363159702,0.067540363159702,"C"
"1.3","cembio","N(2)-acetyl-L-lysine","VEYYWZRYIYDQJM","neg",1,2,"[M - H]-","C8H16N2O3","C8H16N2O3","VEYYWZRYIYDQJM-ZETCQYMHSA-N",NA,NA,NA,"D"
"1.3","cembio","N(2)-acetyl-L-lysine","VEYYWZRYIYDQJM","pos",1,1,"[M + H]+;[M + Na]+","C8H16N2O3","C8H16N2O3","VEYYWZRYIYDQJM-ZETCQYMHSA-N",189.12370300293,0.905340419367634,0.975038580304121,"B"
"1.3","cembio","L-dopa","WTDRDQBEARUVNC","pos",2,1,"[M + H]+","C9H11NO4","C9H11NO4","WTDRDQBEARUVNC-LURJTMIESA-N",198.076202392578,0.0329400856426032,0.0828343726901584,"C"
"1.3","cembio","UDP","XCCTYIAWTASOJW","neg",1,1,"[M - H]-","C9H14N2O12P2","C9H14N2O12P2","XCCTYIAWTASOJW-XVFCMESISA-N",402.996002197266,0.445604361617836,0.445604361617836,"C"
"1.3","cembio","UDP","XCCTYIAWTASOJW","pos",2,1,"[M + H]+","C9H14N2O12P2","C9H14N2O12P2","XCCTYIAWTASOJW-XVFCMESISA-N",405.009704589844,0.716554299027017,0.691354982540812,"B"
"1.3","cembio","L-cysteine","XUJNEKJLAYXESH","pos",1,1,"[M + H]+","C3H7NO2S","C3H7NO2S","XUJNEKJLAYXESH-REOHCLBHSA-N",122.027297973633,0.712480941986628,0.73063701380244,"A"
"1.3","hmgu","L-ornithine","AHLPHDHHMVZTML","neg",1,1,"[M - H]-","C5H12N2O2","C5H12N2O2","AHLPHDHHMVZTML-BYPYZUCNSA-N",131.082081860346,0.925623857707289,0.984234831833281,"D"
"1.3","hmgu","L-ornithine","AHLPHDHHMVZTML","pos",1,7,"[M + H]+","C5H12N2O2","C5H12N2O2","AHLPHDHHMVZTML-BYPYZUCNSA-N",NA,NA,NA,"D"
"1.3","hmgu","2-aminoisobutyric acid","FUOOLUPWFVMBKG","pos",1,5,"[M + H]+","C4H9NO2","C4H9NO2","FUOOLUPWFVMBKG-UHFFFAOYSA-N",NA,NA,NA,"A"
"1.3","hmgu","L-arginine","ODKSFYDXXFIFQN","neg",1,1,"[M - H]-","C6H14N4O2","C6H14N4O2","ODKSFYDXXFIFQN-BYPYZUCNSA-N",173.103696128913,0.82886535697942,0.90229268825759,"C"
"1.3","hmgu","L-arginine","ODKSFYDXXFIFQN","pos",1,1,"[M + H]+","C6H14N4O2","C6H14N4O2","ODKSFYDXXFIFQN-BYPYZUCNSA-N",175.1181394495,0.960567738921931,0.963847665259568,"B"
"1.3","hmgu","D-alanine","QNAYBMKLOCPYGJ","neg",1,1,"[M - H]-","C3H7NO2","C3H7NO2","QNAYBMKLOCPYGJ-UWTATZPHSA-N",88.03971706252,0.688089123550611,0.688089123550611,"D"
"1.3","hmgu","N(2)-acetyl-L-lysine","VEYYWZRYIYDQJM","neg",2,2,"[M - H]-","C8H16N2O3","C8H16N2O3","VEYYWZRYIYDQJM-ZETCQYMHSA-N",NA,NA,NA,"D"
"1.4","afekta","O-phospho-L-serine","BZQFBWGGLXLEPQ","neg",2,1,"[M - H]-","C3H8NO6P","C3H8NO6P","BZQFBWGGLXLEPQ-REOHCLBHSA-N",184.000221252441,0.364441964685124,0.468749973409132,"C"
"1.4","afekta","UDP-alpha-D-glucose","HSCJRCZFDFQWRP","neg",1,1,"[M - H]-","C15H24N2O17P2","C15H24N2O17P2","HSCJRCZFDFQWRP-JZMIEXBBSA-N",565.044006347656,0.273479996985461,0.467503487583162,"C"
"1.4","afekta","N(2)-phenylacetyl-L-glutamine","JFLIEFSWGNOPJJ","neg",2,1,"[M - H]-","C13H16N2O4","C13H16N2O4","JFLIEFSWGNOPJJ-JTQLQIEISA-N",263.101745605469,0.977411732906171,0.977411732906171,"A"
