"mixture","lab","compound","inchikey_2d","polarity","best_formula_rank","best_structure_rank","adducts","molecularFormula","expected_formula","expected_inchikey","mz_observed","confidenceExactMatch","confidenceApproxMatch","confidence_tier"
"1.1","afekta","carnosine","CQOVPNPJLQNMDC","neg",1,1,"[M - H]-","C9H14N4O3","C9H14N4O3","CQOVPNPJLQNMDC-ZETCQYMHSA-N",225.097412109375,0.749895872108442,0.919763919545918,"D"
"1.1","afekta","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH","neg",1,1,"[M - H]-","C9H12NO6P","C9H12NO6P","DCWXELXMIBXGTH-QMMMGPOBSA-N",260.03067452567,0.0934342283268415,0.0957609083389997,"C"
"1.1","afekta","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ","pos",1,1,"[M + H]+","C8H16N2O3","C8H16N2O3","DTERQYGMUDWYAZ-ZETCQYMHSA-N",189.122779846191,0.772444961417617,0.936657254424978,"C"
"1.1","afekta","N-alpha-acetyl-L-asparagine","HXFOXFJUNFFYMO","neg",1,1,"[M - H]-","C6H10N2O4","C6H10N2O4","HXFOXFJUNFFYMO-BYPYZUCNSA-N",173.055229187012,0.886885008326329,0.991058540833119,"A"
"1.1","afekta","N-alpha-acetyl-L-asparagine","HXFOXFJUNFFYMO","pos",1,5,"[M + H]+","C6H10N2O4","C6H10N2O4","HXFOXFJUNFFYMO-BYPYZUCNSA-N",NA,NA,NA,"D"
"1.1","afekta","L-valine","KZSNJWFQEVHDMF","pos",1,4,"[M + H]+","C5H11NO2","C5H11NO2","KZSNJWFQEVHDMF-BYPYZUCNSA-N",NA,NA,NA,"D"
"1.1","afekta","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN","pos",1,1,"[M + H]+","C11H12N2O3","C11H12N2O3","LDCYZAJDBXYCGN-VIFPVBQESA-N",221.091354370117,0.878139608307937,0.947059779049511,"B"
"1.1","afekta","L-citrulline","RHGKLRLOHDJJDR","pos",1,1,"[M + H]+","C6H13N3O3","C6H13N3O3","RHGKLRLOHDJJDR-BYPYZUCNSA-N",176.10237121582,0.807140227834568,0.807140227834568,"A"
"1.1","afekta","guanosine 5'-monophosphate","RQFCJASXJCIDSX","neg",1,1,"[M - H]-","C10H14N5O8P","C10H14N5O8P","RQFCJASXJCIDSX-UUOKFMHZSA-N",362.047570800781,0.196190749841435,0.196190749841435,"C"
"1.1","afekta","homocystine","ZTVZLYBCZNMWCF","neg",1,4,"[M - H]-","C8H16N2O4S2","C8H16N2O4S2","ZTVZLYBCZNMWCF-UHFFFAOYSA-N",NA,NA,NA,"D"
"1.1","cembio","carnosine","CQOVPNPJLQNMDC","neg",1,1,"[M - H]-","C9H14N4O3","C9H14N4O3","CQOVPNPJLQNMDC-ZETCQYMHSA-N",225.099502563477,0.360330310520038,0.553397811324413,"D"
"1.1","cembio","carnosine","CQOVPNPJLQNMDC","pos",1,21,"[M + H]+","C9H14N4O3","C9H14N4O3","CQOVPNPJLQNMDC-ZETCQYMHSA-N",NA,NA,NA,"D"
"1.1","cembio","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH","neg",1,1,"[M - H]-","C9H12NO6P","C9H12NO6P","DCWXELXMIBXGTH-QMMMGPOBSA-N",260.033294677734,0.274594663535912,0.274594663535912,"C"
"1.1","cembio","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH","pos",3,1,"[M + H]+","C9H12NO6P","C9H12NO6P","DCWXELXMIBXGTH-QMMMGPOBSA-N",262.047210693359,0.710833012246268,0.710833012246268,"B"
"1.1","cembio","uridine 5'-monophosphate","DJJCXFVJDGTHFX","neg",1,1,"[M - H]-","C9H13N2O9P","C9H13N2O9P","DJJCXFVJDGTHFX-XVFCMESISA-N",323.029113769531,0.455740432340915,0.455740432340915,"C"
"1.1","cembio","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ","neg",1,1,"[M - H]-","C8H16N2O3","C8H16N2O3","DTERQYGMUDWYAZ-ZETCQYMHSA-N",187.10920715332,0.431724498391114,0.904573977890807,"C"
"1.1","cembio","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ","pos",1,1,"[M + H]+;[M + Na]+","C8H16N2O3","C8H16N2O3","DTERQYGMUDWYAZ-ZETCQYMHSA-N",189.122299194336,0.793354021396996,0.891241365492367,"C"
"1.1","cembio","sarcosine","FSYKKLYZXJSNPZ","pos",1,1,"[M + H]+","C3H7NO2","C3H7NO2","FSYKKLYZXJSNPZ-UHFFFAOYSA-N",90.055000305176,0.39326006984076,0.467148072599804,"D"
"1.1","cembio","L-lysine","KDXKERNSBIXSRK","neg",1,1,"[M - H]-","C6H14N2O2","C6H14N2O2","KDXKERNSBIXSRK-YFKPBYRVSA-N",145.098297119141,0.6781092120209,0.919015356508724,"D"
"1.1","cembio","L-lysine","KDXKERNSBIXSRK","pos",1,1,"[M + H]+;[M + Na]+","C6H14N2O2","C6H14N2O2","KDXKERNSBIXSRK-YFKPBYRVSA-N",147.11279296875,0.986919390986914,0.990010575473545,"D"
"1.1","cembio","L-valine","KZSNJWFQEVHDMF","neg",1,8,"[M - H]-","C5H11NO2","C5H11NO2","KZSNJWFQEVHDMF-BYPYZUCNSA-N",NA,NA,NA,"D"
"1.1","cembio","L-valine","KZSNJWFQEVHDMF","pos",1,3,"[M + H]+","C5H11NO2","C5H11NO2","KZSNJWFQEVHDMF-BYPYZUCNSA-N",NA,NA,NA,"D"
"1.1","cembio","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN","neg",1,1,"[M - H]-","C11H12N2O3","C11H12N2O3","LDCYZAJDBXYCGN-VIFPVBQESA-N",219.07780456543,0.320737601378486,0.907532735809165,"C"
"1.1","cembio","N-acetyl-L-cysteine","PWKSKIMOESPYIA","neg",1,1,"[M - H]-","C5H9NO3S","C5H9NO3S","PWKSKIMOESPYIA-BYPYZUCNSA-N",162.023101806641,0.144502055870235,0.215567246234067,"C"
"1.1","cembio","N-acetyl-L-cysteine","PWKSKIMOESPYIA","pos",1,1,"[M + H]+","C5H9NO3S","C5H9NO3S","PWKSKIMOESPYIA-BYPYZUCNSA-N",164.037796020508,0.940812544106268,0.977341998102134,"D"
"1.1","cembio","D-alpha-aminobutyric acid","QWCKQJZIFLGMSD","neg",1,1,"[M - H]-","C4H9NO2","C4H9NO2","QWCKQJZIFLGMSD-GSVOUGTGSA-N",102.055999755859,0.353006277958568,0.606350532974804,"D"
"1.1","cembio","D-alpha-aminobutyric acid","QWCKQJZIFLGMSD","pos",1,5,"[M + H]+","C4H9NO2","C4H9NO2","QWCKQJZIFLGMSD-GSVOUGTGSA-N",NA,NA,NA,"D"
"1.1","cembio","L-citrulline","RHGKLRLOHDJJDR","neg",1,1,"[M - H]-","C6H13N3O3","C6H13N3O3","RHGKLRLOHDJJDR-BYPYZUCNSA-N",174.088500976563,0.487360293997178,0.487360293997178,"C"
"1.1","cembio","L-citrulline","RHGKLRLOHDJJDR","pos",1,1,"[M + H]+;[M + Na]+","C6H13N3O3","C6H13N3O3","RHGKLRLOHDJJDR-BYPYZUCNSA-N",176.10319519043,0.0707756256354462,0.0707756256354462,"A"
"1.1","cembio","guanosine 5'-monophosphate","RQFCJASXJCIDSX","neg",1,1,"[M - H]-","C10H14N5O8P","C10H14N5O8P","RQFCJASXJCIDSX-UUOKFMHZSA-N",362.051086425781,0.164897433363644,0.164897433363644,"C"
"1.1","cembio","guanosine 5'-monophosphate","RQFCJASXJCIDSX","pos",4,1,"[M + H]+","C10H14N5O8P","C10H14N5O8P","RQFCJASXJCIDSX-UUOKFMHZSA-N",364.064910888672,0.418829105958031,0.418829105958031,"C"
"1.1","cembio","glutathione","RWSXRVCMGQZWBV","neg",1,1,"[M - H]-","C10H17N3O6S","C10H17N3O6S","RWSXRVCMGQZWBV-WDSKDSINSA-N",306.077087402344,0.91701592442884,0.967320844330629,"A"
"1.1","cembio","glutathione","RWSXRVCMGQZWBV","pos",1,1,"[M + H]+;[M + Na]+","C10H17N3O6S","C10H17N3O6S","RWSXRVCMGQZWBV-WDSKDSINSA-N",308.090393066406,0.957247194706255,0.970624243084567,"A"
"1.1","cembio","L-homoserine","UKAUYVFTDYCKQA","neg",1,1,"[M - H]-","C4H9NO3","C4H9NO3","UKAUYVFTDYCKQA-VKHMYHEASA-N",118.05110168457,0.801557579530331,0.969359574047814,"C"
"1.1","cembio","L-homoserine","UKAUYVFTDYCKQA","pos",1,13,"[M + H]+;[M + Na]+","C4H9NO3","C4H9NO3","UKAUYVFTDYCKQA-VKHMYHEASA-N",NA,NA,NA,"D"
"1.1","cembio","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW","neg",1,1,"[M - H]-","C6H14NO8P","C6H14NO8P","XHMJOUIAFHJHBW-UKFBFLRUSA-N",258.038787841797,0.203959567466355,0.310586596791184,"C"
"1.1","cembio","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW","pos",5,2,"[M + H]+;[M + Na]+","C6H14NO8P","C6H14NO8P","XHMJOUIAFHJHBW-UKFBFLRUSA-N",NA,NA,NA,"D"
"1.1","cembio","homocystine","ZTVZLYBCZNMWCF","neg",1,1,"[M - H]-","C8H16N2O4S2","C8H16N2O4S2","ZTVZLYBCZNMWCF-UHFFFAOYSA-N",267.048095703125,0.430724471850698,0.430724471850698,"D"
"1.1","cembio","homocystine","ZTVZLYBCZNMWCF","pos",1,5,"[M + H]+","C8H16N2O4S2","C8H16N2O4S2","ZTVZLYBCZNMWCF-UHFFFAOYSA-N",NA,NA,NA,"D"
"1.1","hmgu","N-alpha-acetyl-L-asparagine","HXFOXFJUNFFYMO","neg",1,1,"[M - H]-","C6H10N2O4","C6H10N2O4","HXFOXFJUNFFYMO-BYPYZUCNSA-N",173.056368694914,0.735514514379216,0.959424210273192,"A"
"1.1","hmgu","L-lysine","KDXKERNSBIXSRK","neg",1,1,"[M - H]-","C6H14N2O2","C6H14N2O2","KDXKERNSBIXSRK-YFKPBYRVSA-N",145.098299769993,0.864034882997444,0.92924192509882,"D"
"1.1","hmgu","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN","neg",2,1,"[M - H]-","C11H12N2O3","C11H12N2O3","LDCYZAJDBXYCGN-VIFPVBQESA-N",219.077233860118,0.54433534088256,0.98952737956922,"C"
"1.1","hmgu","N-acetyl-L-cysteine","PWKSKIMOESPYIA","neg",1,1,"[M - H]-","C5H9NO3S","C5H9NO3S","PWKSKIMOESPYIA-BYPYZUCNSA-N",162.021744336845,0.632634318636101,0.867201480272301,"C"
"1.1","hmgu","L-homoserine","UKAUYVFTDYCKQA","neg",1,1,"[M - H]-","C4H9NO3","C4H9NO3","UKAUYVFTDYCKQA-VKHMYHEASA-N",118.05013224835,0.551402057282633,0.830315096271905,"C"
"1.1","hmgu","L-homoserine","UKAUYVFTDYCKQA","pos",1,2,"[M + H]+","C4H9NO3","C4H9NO3","UKAUYVFTDYCKQA-VKHMYHEASA-N",NA,NA,NA,"D"
"1.2","afekta","NAD zwitterion","BAWFJGJZGIEFAR","neg",7,1,"[M - H]-","C21H27N7O14P2","C21H27N7O14P2","BAWFJGJZGIEFAR-NNYOXOHSSA-N",662.09619140625,0.336505477797496,0.371228488065887,"B"
"1.2","afekta","IMP","GRSZFWQUAKGDAV","neg",1,1,"[M - H]-","C10H13N4O8P","C10H13N4O8P","GRSZFWQUAKGDAV-KQYNXXCUSA-N",347.037275834517,0.253187672335472,0.299654549067512,"C"
"1.2","afekta","N-acetyl-L-glutamine","KSMRODHGGIIXDV","neg",1,1,"[M - H]-","C7H12N2O4","C7H12N2O4","KSMRODHGGIIXDV-YFKPBYRVSA-N",187.071105957031,0.85816905369816,0.85816905369816,"A"
"1.2","afekta","N-acetyl-L-glutamine","KSMRODHGGIIXDV","pos",1,1,"[M + H]+;[M + Na]+","C7H12N2O4","C7H12N2O4","KSMRODHGGIIXDV-YFKPBYRVSA-N",189.086143493652,0.96634760972646,0.96634760972646,"A"
"1.2","afekta","L-homocitrulline","XIGSAGMEBXLVJJ","neg",1,1,"[M - H]-","C7H15N3O3","C7H15N3O3","XIGSAGMEBXLVJJ-YFKPBYRVSA-N",188.102493286133,0.301454588401238,0.301454588401238,"D"
"1.2","afekta","kynurenine","YGPSJZOEDVAXAB","pos",2,1,"[M + H]+","C10H12N2O3","C10H12N2O3","YGPSJZOEDVAXAB-UHFFFAOYSA-N",209.091300964355,0.995202924391685,0.995202924391685,"B"
"1.2","cembio","Acetylcarnosine","BKAYIFDRRZZKNF","pos",1,1,"[M + H]+","C11H16N4O4","C11H16N4O4","BKAYIFDRRZZKNF-SECBINFHSA-N",269.124694824219,0.981988182080576,0.981988182080576,"A"
"1.2","cembio","cytidine 5'-monophosphate","IERHLVCPSMICTF","neg",1,1,"[M - H]-","C9H14N3O8P","C9H14N3O8P","IERHLVCPSMICTF-XVFCMESISA-N",322.044311523438,0.400765134100556,0.255417863957543,"C"
"1.2","cembio","N-acetyl-L-glutamine","KSMRODHGGIIXDV","pos",2,1,"[M + H]+","C7H12N2O4","C7H12N2O4","KSMRODHGGIIXDV-YFKPBYRVSA-N",189.08740234375,0.937326305340893,0.937326305340893,"A"
"1.2","cembio","(2R)-2-acetamidopropanoic acid","KTHDTJVBEPMMGL","pos",1,1,"[M + H]+;[M + Na]+","C5H9NO3","C5H9NO3","KTHDTJVBEPMMGL-GSVOUGTGSA-N",132.065795898438,0.857397192707488,0.884053550348096,"D"
"1.2","cembio","N-carbamoylglutamic acid","LCQLHJZYVOQKHU","pos",2,1,"[M + H]+;[M + Na]+","C6H10N2O5","C6H10N2O5","LCQLHJZYVOQKHU-UHFFFAOYSA-N",191.066802978516,0.478251973946541,0.564071213883489,"B"
"1.2","cembio","N(4)-acetylcytidine","NIDVTARKFBZMOT","pos",1,1,"[M + H]+;[M + K]+;[M + Na]+","C11H15N3O6","C11H15N3O6","NIDVTARKFBZMOT-PEBGCTIMSA-N",286.103607177734,0.960290220982142,0.960290220982142,"D"
"1.2","cembio","N-acetylglycine","OKJIRPAQVSHGFK","pos",1,1,"[M + H]+","C4H7NO3","C4H7NO3","OKJIRPAQVSHGFK-UHFFFAOYSA-N",118.050003051758,0.205421398664593,0.205421398664593,"C"
"1.2","cembio","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA","neg",1,1,"[M - H]-","C6H9NO5","C6H9NO5","OTCCIMWXFLJLIA-BYPYZUCNSA-N",174.041793823242,0.942102453150208,0.988995768581081,"B"
"1.2","cembio","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA","pos",1,1,"[M + H]+","C6H9NO5","C6H9NO5","OTCCIMWXFLJLIA-BYPYZUCNSA-N",176.055603027344,0.738591689782574,0.856318113243258,"B"
"1.2","cembio","folic acid","OVBPIULPVIDEAO","pos",1,1,"[M + H]+;[M + Na]+","C19H19N7O6","C19H19N7O6","OVBPIULPVIDEAO-LBPRGKRZSA-N",442.147003173828,0.6529851481251,0.6529851481251,"B"
"1.2","cembio","L-tryptophan","QIVBCDIJIAJPQS","pos",1,1,"[M + H]+","C11H12N2O2","C11H12N2O2","QIVBCDIJIAJPQS-VIFPVBQESA-N",205.097396850586,0.99685386200248,0.998106925276882,"A"
"1.2","cembio","L-alpha-aminobutyric acid","QWCKQJZIFLGMSD","neg",1,1,"[M - H]-","C4H9NO2","C4H9NO2","QWCKQJZIFLGMSD-VKHMYHEASA-N",102.05590057373,0.36290709260318,0.784885043000337,"C"
"1.2","cembio","L-alpha-aminobutyric acid","QWCKQJZIFLGMSD","pos",1,11,"[M + H]+","C4H9NO2","C4H9NO2","QWCKQJZIFLGMSD-VKHMYHEASA-N",NA,NA,NA,"D"
"1.2","cembio","L-homocitrulline","XIGSAGMEBXLVJJ","pos",1,1,"[M + H]+;[M + Na]+","C7H15N3O3","C7H15N3O3","XIGSAGMEBXLVJJ-YFKPBYRVSA-N",212.100494384766,0.943796878697154,0.952250152773216,"D"
"1.2","cembio","kynurenine","YGPSJZOEDVAXAB","pos",1,1,"[M + H]+;[M + Na]+","C10H12N2O3","C10H12N2O3","YGPSJZOEDVAXAB-UHFFFAOYSA-N",209.092407226563,0.951222615873921,0.951222615873921,"B"
"1.2","hmgu","D-erythronic acid","JPIJQSOTBSSVTP","neg",1,1,"[M - H]-","C4H8O5","C4H8O5","JPIJQSOTBSSVTP-PWNYCUMCSA-N",135.029596527218,0.78571222585309,0.859382979966906,"A"
"1.2","hmgu","(2R)-2-acetamidopropanoic acid","KTHDTJVBEPMMGL","neg",1,1,"[M - H]-","C5H9NO3","C5H9NO3","KTHDTJVBEPMMGL-GSVOUGTGSA-N",130.050332992456,0.684159089581692,0.713819030715397,"C"
"1.2","hmgu","L-alpha-aminobutyric acid","QWCKQJZIFLGMSD","neg",1,6,"[M - H]-","C4H9NO2","C4H9NO2","QWCKQJZIFLGMSD-VKHMYHEASA-N",NA,NA,NA,"C"
"1.2","icl","D-erythronic acid","JPIJQSOTBSSVTP","pos",1,13,"[M + Na]+","C4H8O5","C4H8O5","JPIJQSOTBSSVTP-PWNYCUMCSA-N",NA,NA,NA,"D"
"1.3","afekta","thiamine(1+) diphosphate","AYEKOFBPNLCAJY","pos",1,1,"[M + H]+","C12H18N4O7P2S","C12H19N4O7P2S","AYEKOFBPNLCAJY-UHFFFAOYSA-O",425.04175567627,0.136460822872288,0.136460822872288,"C"
"1.3","afekta","D-asparagine","DCXYFEDJOCDNAF","pos",1,1,"[M + H]+","C4H8N2O3","C4H8N2O3","DCXYFEDJOCDNAF-UWTATZPHSA-N",133.059997558594,0.888997660176884,0.916999786153751,"B"
"1.3","afekta","D-glucopyranose 6-phosphate","NBSCHQHZLSJFNQ","neg",4,10,"[M - H]-","C6H13O9P","C6H13O9P","NBSCHQHZLSJFNQ-GASJEMHNSA-N",NA,NA,NA,"C"
"1.3","afekta","isocitric acid","ODBLHEXUDAPZAU","neg",1,1,"[M - H]-","C6H8O7","C6H8O7","ODBLHEXUDAPZAU-UHFFFAOYSA-N",191.018422444661,0.592167398172028,0.777018093375486,"C"
"1.3","afekta","L-arginine","ODKSFYDXXFIFQN","neg",2,1,"[M - H]-","C6H14N4O2","C6H14N4O2","ODKSFYDXXFIFQN-BYPYZUCNSA-N",173.10285949707,0.747701297473637,0.747701297473637,"C"
"1.3","afekta","N(2)-acetyl-L-lysine","VEYYWZRYIYDQJM","pos",1,1,"[M + H]+","C8H16N2O3","C8H16N2O3","VEYYWZRYIYDQJM-ZETCQYMHSA-N",189.122856140137,0.916505917717134,0.984095171747459,"B"
"1.3","afekta","L-dopa","WTDRDQBEARUVNC","neg",1,1,"[M - H]-","C9H11NO4","C9H11NO4","WTDRDQBEARUVNC-LURJTMIESA-N",196.060348510742,0.0414076227892652,0.0414076227892652,"C"
"1.3","cembio","L-ornithine","AHLPHDHHMVZTML","neg",1,1,"[M - H]-","C5H12N2O2","C5H12N2O2","AHLPHDHHMVZTML-BYPYZUCNSA-N",131.082107543945,0.639980230524571,0.880841427909276,"D"
"1.3","cembio","L-ornithine","AHLPHDHHMVZTML","pos",1,1,"[M + H]+;[M + Na]+","C5H12N2O2","C5H12N2O2","AHLPHDHHMVZTML-BYPYZUCNSA-N",133.097305297852,0.674291741928815,0.879347676826438,"D"
"1.3","cembio","D-asparagine","DCXYFEDJOCDNAF","neg",1,7,"[M - H]-","C4H8N2O3","C4H8N2O3","DCXYFEDJOCDNAF-UWTATZPHSA-N",NA,NA,NA,"D"
"1.3","cembio","D-asparagine","DCXYFEDJOCDNAF","pos",1,1,"[M + H]+;[M + Na]+","C4H8N2O3","C4H8N2O3","DCXYFEDJOCDNAF-UWTATZPHSA-N",133.061004638672,0.325857948316112,0.325857948316112,"B"
"1.3","cembio","2-aminoisobutyric acid","FUOOLUPWFVMBKG","neg",1,6,"[M - H]-","C4H9NO2","C4H9NO2","FUOOLUPWFVMBKG-UHFFFAOYSA-N",NA,NA,NA,"D"
"1.3","cembio","2-aminoisobutyric acid","FUOOLUPWFVMBKG","pos",1,1,"[M + H]+","C4H9NO2","C4H9NO2","FUOOLUPWFVMBKG-UHFFFAOYSA-N",104.070899963379,0.909491221630775,0.941916214607035,"A"
"1.3","cembio","N-carbamoylaspartic acid","HLKXYZVTANABHZ","neg",1,1,"[M - H]-","C5H8N2O5","C5H8N2O5","HLKXYZVTANABHZ-UHFFFAOYSA-N",175.036193847656,0.792982896858144,0.792982896858144,"C"
"1.3","cembio","N-carbamoylaspartic acid","HLKXYZVTANABHZ","pos",1,1,"[M + H]+","C5H8N2O5","C5H8N2O5","HLKXYZVTANABHZ-UHFFFAOYSA-N",177.050796508789,0.964460024279616,0.964460024279616,"B"
"1.3","cembio","UDP-alpha-D-glucose","HSCJRCZFDFQWRP","neg",1,1,"[M - H]-","C15H24N2O17P2","C15H24N2O17P2","HSCJRCZFDFQWRP-JZMIEXBBSA-N",565.048217773438,0.312681358820049,0.503137390538558,"C"
"1.3","cembio","D-glucopyranose 6-phosphate","NBSCHQHZLSJFNQ","neg",1,1,"[M - H]-","C6H13O9P","C6H13O9P","NBSCHQHZLSJFNQ-GASJEMHNSA-N",259.022491455078,0.306738854710857,0.47036191443424,"C"
"1.3","cembio","guanosine","NYHBQMYGNKIUIF","neg",1,1,"[M - H]-","C10H13N5O5","C10H13N5O5","NYHBQMYGNKIUIF-UUOKFMHZSA-N",282.084808349609,0.430996526393984,0.573528109671169,"C"
"1.3","cembio","guanosine","NYHBQMYGNKIUIF","pos",1,1,"[M + H]+;[M + Na]+","C10H13N5O5","C10H13N5O5","NYHBQMYGNKIUIF-UUOKFMHZSA-N",284.099487304688,0.886135563205988,0.886135563205988,"C"
"1.3","cembio","isocitric acid","ODBLHEXUDAPZAU","neg",1,1,"[M - H]-","C6H8O7","C6H8O7","ODBLHEXUDAPZAU-UHFFFAOYSA-N",191.020004272461,0.60045396463215,0.780777034639655,"C"
"1.3","cembio","isocitric acid","ODBLHEXUDAPZAU","pos",3,2,"[M + Na]+","C6H8O7","C6H8O7","ODBLHEXUDAPZAU-UHFFFAOYSA-N",NA,NA,NA,"D"
"1.3","cembio","L-arginine","ODKSFYDXXFIFQN","neg",1,1,"[M - H]-","C6H14N4O2","C6H14N4O2","ODKSFYDXXFIFQN-BYPYZUCNSA-N",173.104400634766,0.499107499059918,0.776360130100192,"C"
"1.3","cembio","L-arginine","ODKSFYDXXFIFQN","pos",1,1,"[M + H]+;[M + Na]+","C6H14N4O2","C6H14N4O2","ODKSFYDXXFIFQN-BYPYZUCNSA-N",175.119293212891,0.966009340279946,0.966009340279946,"B"
